positivePoints,negativePoints,commentText,like,dislike,"کيفيت ساخت","سهولت در استفاده","امکانات و قابليت ها","ارزش خريد به نسبت قيمت"
"خوش دست","بنظرم تا الان بهترين کنترلر","لازم دانستم این مورد را بگم که من کنترلر سری قدیم (که جک 3.5 ندارد) داشتم که دکمه های RB-LB سفت و خشکه که در این محصول بسیار نرم تر شده. بعد بر جستگی هایی رود کنترلر دارد که باعث خوش دستر شدن میشود .کسایی که قصد خرید کنترلر دارند بنظرم قطعا این مورد انتخاب کنند چون پشیمان میشوند و از خرید کنترلر Ps4 روی PC بنظرم خودداری کنند.دیحی کالا ممنونم که تخفیف زدید و خریدم بنظرم دوباره موجود کنید.",0,1,5,5,3,5
"رنگ زيبا
جک سه نيم ميلي صدا
دکمه هاي نرم
بدنه محکم
جوي استيکاش هم خيلي خوبه","خوبه فعلا","دسته خیلی خوبیه خوشمان امد با بلوتوث به لپتابم سینک کردم",0,0,5,5,5,5
"بسيار خوش دست
زيبا و خيلي با کلاس و شيک
مناسب براي گيمرهاي حرفه اي و مبتدي
جون دار بودن يعني سفت و محکمه","واقعا نداره","من انواع و اقسام دسته های بازی امتحان کردم از اونجایی که خوره بازی هستم این بهترین دسته بازی مطمئن باشید ارزش هزینه کردن داره و هرگز پشیمون نمیشید از خریدش",3,0,5,5,5,1
"کيفيت ساخت بالا
راه اندازي راحت
خوش دست","صداي زياد کليد ها هنگام بازي","دسته ای با کیفیت عالی من برای PC گرفتم اگه لپتاپ دارید حتما بگیرید اگه دانگل بلوتوث ندارید همون نسخه قدیمیش رو بگیرید که ارزون تره چون مزیت این نسخه اپدیت شده فقط بلوتوثشه. این دسته به اکس وان هم وصل میشه.
یک نکته بسیار مهم برای کسایی که برای PC میگیرن ویندوزتون حتما باید 10 باشه و انیورساری اپدیت هم داشته باشه (build 1607 ) من خیلی وقتم سر این موضوع تلف شد. روی ویندوز 10 قدیمی تر به هیچ عنوان بلوتوثی کار نمیکنه ولی با سیم مشکلی نداره. برای اینکه با سیم هم وصل کنید ودسترو اپدیت کنید تا کار کنه باید یک حساب کاربری ویندوز باز کنید (با چیلتر _شکن) و از ویندوز استور نرم افزار xbox accessories رو دانلود کنید که خودش اتوماتیک دسترو شناسایی و اپدیت میکنه.
بعضی از دوستان میپرسن اون درگاه زیر دسته بغل جک صدا چیه؟ اون ماژولی برای وصل کردن لوازم جانبی مثل کیبرد مخصوص این دسته که برای کنسول بازا چت کردن رو راحت میکنه (در دیجی کالا هم موجوده این کیبورد)",0,1,4,5,5,4
"کيفيت خوب بدنه","دکمه چهار جهت اصلي ضعيف","کیفیت ساخت قابل قبولی داره حتی به گوشی موبایل هم به راحتی کانکت میشه تنها نقطه ضعف این دسته دکمه چهار جهت اصلی هست که یک تکه ساخته شده و در بازی مثل مورتال کمبت اصلا خوب عمل نمیکنه بهتر بود شبیه دکمه چهار جهت دسته پلی استیشن به صورت مجزا طراحی میشد",1,1,4,2,3,3
"باتري هاي استثنايي",ندارد,"باتری هاش از این معمولیا به نظر میرسه ولی عجیب غریب خوبه.
من الان حدود چهل روز هست که این دسته رو برای لپتاپم خریدم
میانگین بگم هر ده ساعت که با باتری بازی میکنم یک ساعت هم با سیم بازی میکنم.
با این حال تو این چهل روز باتریش تموم نشده
خیلی عجیبه
نمیدونم شاید وقتی بهش سیم وصل میکنم خود به خود شارژ هم میشه یا شاید اصلا باطریش خیلی قویه که چهل روزه تموم نشده.
در کل عالیه، بجای اینکه هر ماه از این دسته های بیست هزار تومنی بخرین و ماه بعد خراب شه، یه بار کمی خرج کنین و چندین سال راحت لذت ببرین از بازیاتون.",1,0,4,2,3,2
"خوش دست
مصرف باتري کم","رنگبندي و تنوع کم","این دسته بدون هیچ دانگلی به سادگی به ویندوز 10 وصل میشه و شما میتونید باهاش راحت بازی کنین فقط کافیه بلوتوث لبتاب رو روشن و ادد دیوایس کنید ، بعد دکمه پشت دسته رو نگه دارید تا لپتاپ بشناسش و بعد با زدن دکمه X روی دسته لپ تاپ رو Pair کنید ، بعد از این دیگه فقط کافیه دسته رو روشن یا خاموش کنید تا به لپتاپ وصل بشید... ازونجا که بازی های اورجینال برای PC هم وجود دارن ، در نتیجه برای کسی مثل من که سیستم قوی داره خرید کنسول رو بی معنی میکنه ، با دوتا باتری شارژی کاملیون الان 3 روزه دارم باهاش بازی میکنم و هنو\ز جواب میده، برای انجام بازی هم نیازی به برنامه ریزی دسته نیست .",12,9,5,5,5,5
,,"من این دسته رو خریدم خیلییییی عالیه
هم جنسش خوبه ک دست خسته نمیشه
هم دکمه هاش نرمه و خوبه
تو دستم سنگینه کلا خیلیییی عالیه
من با بلوتوث بدون سیم به لپتاپ ویندوز10 وصلش میکنم
و بازی میکنم
از خریدمم خیلیی راضیم",7,3,3,3,3,3
,,"وقتی کنار یه دسته معمولیه بزارینش و مقایسه کنین مشخص میشه که واقعا ارزش خرید داره",8,2,3,3,3,3
,,"راجب کامنت قبلی که خودم نوشتم:
درست شد
با اپدیت اخر ویندوز ده تطابق صد در صدی داره با تمام بازیا
چه بیسیم چه با سیم",5,2,4,2,3,2
زيبايي,"قيمت به نسبت بالا","سلام من این دسته رو برای ویندوز ده اورجینالم لپتاپم خریدم.
دسته به صورت با سیم با تمام بازیا همخونی صد در صدی داره منتهی وقتی با بلوتوث به صورت بی سیم استفاده میکنی مثلا بازیه فیفا 17 رو مشکل داره به صورتی که با یک بار زدن کلیک جهت دوبار جابجا میشه. یا مثلا فارکرای چهار به صورت بی سیم کلا شناخته نمیشه و فقط باید با سیم بازی کنی. اما بعضی بازی ها هم مثل نیدفوراسپید رایولز رو بدون هیچ مشکلی به صورت بی سیم هم اجرا میشه.
ویندوزمم اپدیت 1610 هست و دسته هم اپدیت کردم، منتهی مشکلی که گفتم هست.
خلاصه بگم 50 درصد راضی ام 50 درصد هم با خودم میگم کاش razer sabertooth میخریدم.
موفق باشین.",1,5,4,2,3,2
"راحتي و طراحي زيبا و خوش دست بودن",نداره,"امروز این دسترو خریدم رنگ مشکیشو خریدم واقعا فوق العاده و محشره عالی هست این هسته هم کیفیت ساختش و هم زیباییش مخصوصا مشکیش که اصلا به ادم حس گیمیر بودن دست میده موسی از دیجیکالا که اطلاعات گذاشت در اختیارم و باعث شد بین این و دسته سونی اینو بخرم شک نکنید بخریدش",3,4,5,5,5,5
"اتصال بهpc(اپديت کنيد دسته رو)
اتصال له android
اتصال با سيم بدون سيم
کيفيت محشر
هماهنگي عالي با ويندوز 10","فقط بلوتوث نسخه 4 وصل ميشه با 2 نميشه","دوستان حتما بلوتوث نسخه 4 یا دانگل وای فای ایکس باکس بگیرید
ازونجا که دانگل گرونه بهترین راه یا با سیم کابل شارژر گوشها یا اینکه بلوتوث نسخه 4 چون با نسخه 2 و1ل نمیشه ازتون رمز میخواد ولی تحقیق کردم توی سایت میکروسافت گفته اون رمز بحاطر نسخه بلوتوثه چون رمزی نداره بخاطر عدم هماهنگی نسخه2 میاد
قیمتی نداره بلوتوث نسخه 4 دیجیکالام داره اتفاقا
در اخر حتما xbox accessories رو از فروشگاه ماکروسافت دانلود کنید و دسته رو اپدیت کنید این دسته باید اپدیت بشه خودش
زیبا هست واقعا خیلیم استفادش راحته دکمه ها واقعا محشرن با ویندوز 10 هم عالی هماهنگه به گوش اندروید هم براحتی وصل میشه من باهاش اسفالت 8 بازی میکنم",7,2,5,4,5,5
"کاملا اون چيزي هست که يک گيمر نياز داره","عمر باتري متوسط","خیلی وقت نیست خریدمش ولی اگه دنبال یه دسته گیم خوب میگردید حتما این رو بخرید. خیلی در موردش تحقیق کرده بودم که در نهایت به این گزینه رسیدم. خیلی کامله بدون هیچ نقص و کمبودی. به راحتی با کامپیوتر و گوشی و تبلت کانکت میشه بدون سیم و هرگونه دانگل دیگه. اذیت هم نمیکنه. البته ناگفته نمونه که این دسته فقط اینطوری هست و مدل قدیمی دسته که Xbox one شناخته میشه اینطوری نیست و حتما دانگل میخواد. بنابراین حتما توجه کنید که مدل Xbox one s رو تهیه کنید. (همین مدل) اینم بگم که حتما باید ویندوز کامپیوترتون نسخه 10 باشه وگرنه کار نمیکنه. (تحقیقات من از سایتا اینو میگه خودم که کلا ویندوز 10 داشتم مشکلی هم باهاش نداشتم) من قبل از خریدن این دسته بین این و PS4 مونده بودم ولی دیدم اکثر گیمهای کامپیوتری با این دسته سازگاری دارند. مهم ترین این گیم ها Call of Duty و Need For Speed Rivals هستند که بدون هیچگونه تنظیم و دردسری راحت شناخته میشه و کار میکنه ولی PS4 اینطور نیست و شاید اذیت کنه. باتریش شاید یه خورده اذیت کنه که میتونید دو جفت باتریAA قابل شارژ بخرید و شارژ کنید و استفاده کنید. البته با کابل هم میتونید به کامپیوتر وصل کنید و بازی کنید و یا اگه نمیخواید باتری بخرید و با فاصله از کامپیوتر میخواید بشینید میتونید سیمش به شارژر گوشی وصل کنید و به فاصله 10 متری از کامپیوتر بشینید و ازش استفاده کنید. البته اینم بگم که تو مقایسه ها گفته شده که سه برابر PS4 باتری نگه میداره. نکنه دیگه که خیلی حال کردم باهاش اضافه شدن یه سوکت هدفون به دسته بود که حتی اگه به صورت بلوتوثی به کامپیوتر متصل باشید میتونید صدای کامپیوتر رو از طریق اون سوکت با وصل کردن یه هدفون گوشی بشنوید. صداش کیفیتش پایینه ولی برای نسخه های اول خیلی عالیه. از کیفیت ساختش هم بگم که کیفیت پلاستیکش واقعا عالیه وقتی توی دست میگیری میبینی که چقدر با اون دسته های ارزون 40 یا 50 تومنی فرق داره. خیلی قرص و محکم ساخته شده. دکمه هاشم خیلی نرم و کم صداست. وقتی دکمهشاش رو میزنی لذت میبری و احساس میکنی تا 10 سال دیگه هم کار میکنه. دو دکمه تریگر چلوش هم که اصلا صدا نداره خیلی نرمه و اصلا دست آدم رو اذیت نمیکنه. به نظرم یه عمر داشتم اشتباه میکردم که دسته های ارزون میخریدم و برای دو سه ماه بیشتر کار نمیکرد. یه بار بخرید خیال خودتون رو راحت کنید. با تشکر اگه سوالی هم داشتید بپرسید خوشحال میشم کمکتون کنم.",16,3,5,5,5,5
"جک 3.5 ميليمتري بهترين نکتشه","امکانات کمتر نسبت به پي اس 4","بسایر با کیفیته و برد بالایی داره فقط چیزایی مثل تاچ پد و اسپیکر نداره",3,2,4,5,3,4
"طراحي ارگونوميک
بازدهي بالا با 2 باطري قلمي (9 - 10 ساعت)","نيازمند به نيازمند به بلوتوث 4 و ويندوز 10 براي کارکرد بي سيم با کامپيوتر","از نظر ساخت و کیفیت خیلی خوبه، رنگ سفید دستگاه خیلی شیک هست
بازدهی باطری خیلی خوبی داره و شما می تونید هر وقت باطری دستگاه تموم شد راحت با دوتا باطری جدید به بازیتون ادامه بدید
نکته منفی که داره اینه که شما باید حتما ویندوز 10 داشته باشید تا بیسیم کار کنه و اون هم در صورتی که سیستمتون بلوتوث 4 داشته باشه",2,2,5,3,5,4
"استفاده بيسيم براي pc هماهنگ با بازي هاي روز","نقطه ضعفي نداره","اگه دیجی کالا دانگل بلوتوث ورژن 4 بیاره عالی میشه چون سیستمهای دسکتاپ بلوتوث ندارند و از این دسته بدون دانگل بلوتوث ورژن 4 نمیشه بصورت بیسیم استفاده کرد",4,1,5,5,5,3
"راحت بودن دسته",کيفيت,"من خودم ps4 دارم کیفیت بازیاش عالیه ولی ایکس باکس نه ولی چون ایکس باکس راحتر از ps4است ولی از نظر کیفیت ps4بهتره.",2,9,0,0,3,5
"ارگونومي بسيار بالا زيبايي","تقريبا هيچي.بعضيا ميگن باتري خوره بده ولي بنظرم ميتونه جزو مزايا هم باشه","عالی.نسبت به دسته قبلی بهبودهایی پیدا کرده.زبر شده و دیگه دست لیز نمیخوره.",10,1,5,3,4,3
"سازگار با کامپيوتر
دکمه هايي خوش دست",ندارد,"من این دسته رو چند ماهی هست خریدم بسیار دسته خوبیه و کاملا به کامپیوتر و لپ تاپ میخوره خیالتون راحت فقط حواستون باشه فقط با بلوتوث نسخه 4 کار میکنه و به PC وصل میشه اگه نسخه 2 بگیرین کلا وصل نمیشه و فقط با کابل باید بازی کنین. همچنین ویندوز 10 هم باید داشته باشین.",3,0,5,5,5,3
"کيفيت عالي
اتصال با بلوتوث","نهايت عملکرد فقط در ويندوز 10 (در صورت اتصال به pc )
اگر چند دسته با بلوتوث متصل بشه ممکنه تو عملکرد دسته ها اختلال ابجاد بشه (در صورت اتصال به pc )","اگر ویندوز 10 دارید بدون نیاز به دانگل ، میتونید با بلوتوث به کامپیوتر متصلش کنید",4,1,5,5,5,5
,,"دسته Xbox one s بلوتوث دارد و میتوان بدون دانگل خاصی در ویندوز 10 از آن استفاده کرد",5,0,3,3,3,3
,,"با این کنترلر اگر ویندوز 10 داشته باشید میتونید از طریق بلوتوث به PC وصلش کنید و نیازی به هیچ دانگلی نیست.",12,0,5,5,4,4
"خود دسته","چيزي نديدم","این دسته عالیه من اینو خریدم عالیه بگم از دسته ی الیت هم بهتر بخرید حتما",7,1,5,5,5,1
,,"هم خوشگله هم خوش دست .البته فقط ps4",7,30,3,3,3,3
,,"دسته ی خیلی عالی هستش واقعا کیفیت ساخت عالیه و نسبت به دسته قبلی خوش دست تر شده
با تشکر از دیجیکالا که موجودش کرد.",15,5,5,5,4,5
"اتصال بهpc(اپديت کنيد دسته رو)
اتصال له android
اتصال با سيم بدون سيم
کيفيت محشر
هماهنگي عالي با ويندوز 10","فقط بلوتوث نسخه 4 وصل ميشه با 2 نميشه","دوستان حتما بلوتوث نسخه 4 یا دانگل وای فای ایکس باکس بگیرید
ازونجا که دانگل گرونه بهترین راه یا با سیم کابل شارژر گوشها یا اینکه بلوتوث نسخه 4 چون با نسخه 2 و1ل نمیشه ازتون رمز میخواد ولی تحقیق کردم توی سایت میکروسافت گفته اون رمز بحاطر نسخه بلوتوثه چون رمزی نداره بخاطر عدم هماهنگی نسخه2 میاد
قیمتی نداره بلوتوث نسخه 4 دیجیکالام داره اتفاقا
در اخر حتما xbox accessories رو از فروشگاه ماکروسافت دانلود کنید و دسته رو اپدیت کنید این دسته باید اپدیت بشه خودش
زیبا هست واقعا خیلیم استفادش راحته دکمه ها واقعا محشرن با ویندوز 10 هم عالی هماهنگه به گوش اندروید هم براحتی وصل میشه من باهاش اسفالت 8 بازی میکنم",7,2,5,4,5,5
"کاملا اون چيزي هست که يک گيمر نياز داره","عمر باتري متوسط","خیلی وقت نیست خریدمش ولی اگه دنبال یه دسته گیم خوب میگردید حتما این رو بخرید. خیلی در موردش تحقیق کرده بودم که در نهایت به این گزینه رسیدم. خیلی کامله بدون هیچ نقص و کمبودی. به راحتی با کامپیوتر و گوشی و تبلت کانکت میشه بدون سیم و هرگونه دانگل دیگه. اذیت هم نمیکنه. البته ناگفته نمونه که این دسته فقط اینطوری هست و مدل قدیمی دسته که Xbox one شناخته میشه اینطوری نیست و حتما دانگل میخواد. بنابراین حتما توجه کنید که مدل Xbox one s رو تهیه کنید. (همین مدل) اینم بگم که حتما باید ویندوز کامپیوترتون نسخه 10 باشه وگرنه کار نمیکنه. (تحقیقات من از سایتا اینو میگه خودم که کلا ویندوز 10 داشتم مشکلی هم باهاش نداشتم) من قبل از خریدن این دسته بین این و PS4 مونده بودم ولی دیدم اکثر گیمهای کامپیوتری با این دسته سازگاری دارند. مهم ترین این گیم ها Call of Duty و Need For Speed Rivals هستند که بدون هیچگونه تنظیم و دردسری راحت شناخته میشه و کار میکنه ولی PS4 اینطور نیست و شاید اذیت کنه. باتریش شاید یه خورده اذیت کنه که میتونید دو جفت باتریAA قابل شارژ بخرید و شارژ کنید و استفاده کنید. البته با کابل هم میتونید به کامپیوتر وصل کنید و بازی کنید و یا اگه نمیخواید باتری بخرید و با فاصله از کامپیوتر میخواید بشینید میتونید سیمش به شارژر گوشی وصل کنید و به فاصله 10 متری از کامپیوتر بشینید و ازش استفاده کنید. البته اینم بگم که تو مقایسه ها گفته شده که سه برابر PS4 باتری نگه میداره. نکنه دیگه که خیلی حال کردم باهاش اضافه شدن یه سوکت هدفون به دسته بود که حتی اگه به صورت بلوتوثی به کامپیوتر متصل باشید میتونید صدای کامپیوتر رو از طریق اون سوکت با وصل کردن یه هدفون گوشی بشنوید. صداش کیفیتش پایینه ولی برای نسخه های اول خیلی عالیه. از کیفیت ساختش هم بگم که کیفیت پلاستیکش واقعا عالیه وقتی توی دست میگیری میبینی که چقدر با اون دسته های ارزون 40 یا 50 تومنی فرق داره. خیلی قرص و محکم ساخته شده. دکمه هاشم خیلی نرم و کم صداست. وقتی دکمهشاش رو میزنی لذت میبری و احساس میکنی تا 10 سال دیگه هم کار میکنه. دو دکمه تریگر چلوش هم که اصلا صدا نداره خیلی نرمه و اصلا دست آدم رو اذیت نمیکنه. به نظرم یه عمر داشتم اشتباه میکردم که دسته های ارزون میخریدم و برای دو سه ماه بیشتر کار نمیکرد. یه بار بخرید خیال خودتون رو راحت کنید. با تشکر اگه سوالی هم داشتید بپرسید خوشحال میشم کمکتون کنم.",16,3,5,5,5,5
"جک 3.5 ميليمتري بهترين نکتشه","امکانات کمتر نسبت به پي اس 4","بسایر با کیفیته و برد بالایی داره فقط چیزایی مثل تاچ پد و اسپیکر نداره",3,2,4,5,3,4
"طراحي ارگونوميک
بازدهي بالا با 2 باطري قلمي (9 - 10 ساعت)","نيازمند به نيازمند به بلوتوث 4 و ويندوز 10 براي کارکرد بي سيم با کامپيوتر","از نظر ساخت و کیفیت خیلی خوبه، رنگ سفید دستگاه خیلی شیک هست
بازدهی باطری خیلی خوبی داره و شما می تونید هر وقت باطری دستگاه تموم شد راحت با دوتا باطری جدید به بازیتون ادامه بدید
نکته منفی که داره اینه که شما باید حتما ویندوز 10 داشته باشید تا بیسیم کار کنه و اون هم در صورتی که سیستمتون بلوتوث 4 داشته باشه",2,2,5,3,5,4
"استفاده بيسيم براي pc هماهنگ با بازي هاي روز","نقطه ضعفي نداره","اگه دیجی کالا دانگل بلوتوث ورژن 4 بیاره عالی میشه چون سیستمهای دسکتاپ بلوتوث ندارند و از این دسته بدون دانگل بلوتوث ورژن 4 نمیشه بصورت بیسیم استفاده کرد",4,1,5,5,5,3
"راحت بودن دسته",کيفيت,"من خودم ps4 دارم کیفیت بازیاش عالیه ولی ایکس باکس نه ولی چون ایکس باکس راحتر از ps4است ولی از نظر کیفیت ps4بهتره.",2,9,0,0,3,5
