positivePoints,negativePoints,commentText,like,dislike,"کيفيت ساخت","سهولت در استفاده","امکانات و قابليت ها","ارزش خريد به نسبت قيمت"
"خوش دست نوار رنگي روي تاچ",نداره,"خوش دست..... بهتر از قبلیه شک نکنید",4,0,4,4,5,4
,"جويستيکاش صدا ميدن","دوستان من خریدم کیفیت ساختش از مدل اصلی که تو کارتون خود پلی هست پایین تر یک مقدار اما حس بدی به من نداد در کل.",1,11,3,3,3,3
,,"همین امروز خریدم عالیه خیلی خوبه زیباتر کار امد تر محکم تر حتما بخرین دسته خودم روش یکم دلستر ریخت کاملا دکمه هاش اذیت میکرد اینو خریدم",13,5,5,5,5,3
,,"من پی اس 4 اسلیم خریدم و این دسته هم باهاش بود،کلا احساس بهتری نسبت به دسته قبل داره بهترین نکتش اینه که هیچ جای براقی نداره و اصلا معنی خش افتادن روش رو نمیدونه،به پی اس 4 معمولی،پرو و اسلیم وصل میشه اگه پی اس 4 معمولی دارین و میخواین تجربش کنین همینو بخرین اشکالی نداره خیلی ها میگن روکش آنالوگاش پاره میشه من نمیدونم چجوری باهاش کار میکنن که اینجوری میشه
چراغ پشت دسته(لایت بار) از توی تاچ پد قابل دیدنه،چراغ جداگانه ای براش نزاشتن بلکه بالای تاچ بد رو شیشه ای کردن که نور از توش رد شه دکمه های L1,L2,L3 R1,R2,R3 رنگ خاکستری به خود گرفتن که توی ظاهر نقش مهمی داشته، کلا بهتره از همه نظر",9,4,2,3,4,2
"دسته بازي پلي استيشن چهار",ندارن,"هیچ فرقی با نمونه های دیگه از نظر کیفیتی ندارد بجز خط نوری که روی تاچ پد گذاشتن که البته اونم همچین چیز لوکس و قشنگی که انتظا شو داشتم نیست",8,3,3,3,3,3
,,"دوست عزیز اتفاقا تو این نسخه کیفیت دسته خیلی بالا تر از نسخه قبله",3,7,5,5,5,5
"صفحه لمسي
نرمي بودن دکمه ها و کيفيت ساخت خوب و...","بايد جاي شوکرها با فِلِش ها عوض بشه","به نظر من همچیش خوبه ولی باید جای شوکر هارو با فِلِش ها عوض کنه اینطوری واقعا در دست گرفتن دسته راحت تر میشه",5,24,4,4,5,4
,,"این دسته فرق خاصی با نسخه قدیمی نداره فقط یه نوار نور داره رو تاچ پدش یکم کوچک تر کردنش برای خرید فرقی نداره سلیقه ای هس در ضمن یکم کیفیتش پایین تره مات تره دکمه هاش هم طوسی کردن همین",5,6,4,5,5,5
,,"فقط یه تاچ پد گذاشتن روش اسمشو گذاشتن پیشرفت
اونوقت مایکروسافت ارگونومی دسته هاشو هر نسل بهتر میکنه در ظاهر انان بر خلاف سونی تغییر ایجاد میکنه تو دسته کلی شوکر میزاره تا حس بازی بهت منتقل شه ....",8,36,1,1,2,1
"عالي هم به پليسشن وصل ميشه هم لبتاب عالي هست",,"به نظر من بهترین دسته است",16,2,5,5,5,5
,,"بر خلاف چیزایی که شنیدم هنوز روکش آنالوگ هاشم حتی خوردگی پیدا نکرده چه برسه به پاره بشه
شارژ همراه خوب نگه میدارد من با بلوتوث به لپ تاپ وصل میکنم میتونید رنگش رو تغییر بدید ارزشش همه خوبه خیلی خفنه
هر کی میبینه خیلی حال میکنم بهترین تغییرش آنالوگ های مقعرشه",16,1,5,5,5,3
,"کيفيت ساخت","در همان ابتدا ویبره روان کار نمی کرد و حالت لگد زن و غر غر بدی داشت",6,22,2,3,3,3
,,"این دسته عالیه . من بدون هیچ نرم افزاری وقتی با این کابل usb که همراهش هست به کامپیوتر متصل کردم باهاش بازی می کنم .",13,1,3,5,5,4
,,"با سلام
قیمت این کالا تو فروشگاههای دیگه خیلی پایینتره ، منتظرم قیمتش رو دیجی کالا بیاره پایین تا بخرمش
در کل تغییراتی که داشته نسبت به نسل قبلی
نور لایت بار که اضافه شده لامپ جدیدی براش نصب نشه بلکه با یه شیشه اونو از پشت به بالا هم انتغال دادن
مصرف دسته پایینتر اومده
کیت داخلش کوچیکتر شده
دسته رو که قبلا با کابل به دستگاه وصل میکردید فقط شارژ میشد ولی دستورات از طریق بلوتوث ارسال میشد ، ولی الان با کابل هم ارسال میشه تو این مدل
یه خورده هم دسته مات تر شده .",35,1,5,5,5,5
,,"وقتی که داخل جعبه بود زیاد زیبا به نظر نمی رسید ولی وقتی که بازش کردم خیلی زیبا تر بود با بلوتوث به لپ تاپ وصل کردم اول هیچ بازی رو ساپورت نمی کرد با برنامه ds4 windows وصلش کردم می شد باهاش بازی کرد ولی نقاط ضعفش فقط اینه که استیک هاش کمی زود پاره میشه ولی اگه میخواهید دیر تر پاره بشن به روکش سیلیکونی براش بگیرید یا نرم تر باهاش کار کنید واسه ی اینکه بیشتر شارژ نگه داره میتونید نور پشتش رو کم تر کنید یا خاموش کنید من قبلا دسته ی ایکس باکس وان اس داشتم زیاد به دستای کوچیک نمی نشت و به درد کسی نمیخورد که تا حالا فقط با دسته پلی استیشن بازی کرده بود از نظر من این دسته بخاطر جای درست استیک هاش که داخل یک خط هستند و تاچ پد دکمه هایش صاف و مات ( مال ایکس باکس بر آمدگی داره خیلی اذیت میکنه) از ایکس باکس بهتره",12,9,5,5,5,3
,,"من رنگ سفید این دسته رو دارم واقعا زیباست و من رنگ سفیدش رو پیشنهاد میکنم",5,12,5,5,5,5
,,"دسته پلی استیشن دسته جوندار و خوبیه ولی متاسفانه به خوش دستی و استانداردی دسته ایکس باکس نیست اینو همه آدمای بی طرف میگن
کاش میشد با دسته ایکس باکس بازیای پلی استیشن کرد",21,52,0,0,0,0
"دکمه هاي L2 و R2",ندارد,"این دسته علاوه بر لایت بار جدید که روی تاچ پد قرار داره دکمه های L2 و R2 که در دسته قبلی شل تر بودند در این دسته بهتر شده است و کنترل آن بهتر شده است و هم چنین رنگ فلش های سمت چپ و دکمه های ضرب در،دایره،مثلث و مربع نیز به رنگ طوسی در آمده است",14,5,5,5,5,4
"لايت بار اضافه
مات بودن بيشتر(اگه دقت کرده باشيد تيره تر است نسبت به مدل قبليش)","کيفيتش کمي پايين تر است اما به چشم نمياد","سلام من Ps4 slim گرفتم این دسته هم روش بود. اگه Ps4 معمولی دارید ارزش خرید نداره اما اگه مثل من slim یا pro دارید انتخاب خوبه ی....",8,64,4,5,5,3
"نگه داشتن شارژ فوق العاده (حدودا 8 ساعت مداوم ) ارگونوميک عالي کيفيت ساخت عالي وجود تاچ پد نوار رنگي بر روي تاچ پد","به جز اينه بعد از چند سال استفاده خيلي مداوم نگه داري غلط سر انالوگ ها کمي خراب ميشه که بهتر براش گريپس بخريد","کلا سونی دسته اای محشری میسازه به خصوص اینکه این مدل خیلی بهتر از سری های قبلش در کل به نظرم از کنترلر ایکس باکس خیلی سر تر تو خریدش شک نکنید مخصوصا این مدل اسلیمش",27,29,3,3,3,3
"نور چراغ روي صفحه",هيچي,"این دسته اگه طبق عکس همون دسته فابریکه که داخل ps4 pro گذاشته شده باشه تا سریای اولشون هست بخرین خوبه چون سریای بعدشون کیفیتشون خیلی میاد پایین",9,29,5,5,5,5
"همه چي","فرقي با نسخه معمولي نداره","دوستان عزیز این نسخه فقط یه چراغ بالاش اضافه شده وگرنه هیچ فرقی نداره با معمولی من پیشنهاد می کنم معمولی بگیرید اگه میخواید",46,5,5,5,5,0
عاليه,هيچ,"بازم عالیهههههه",22,13,5,5,5,5
"عالي هم به پليسشن وصل ميشه هم لبتاب عالي هست",,"به نظر من بهترین دسته است",16,2,5,5,5,5
,,"بر خلاف چیزایی که شنیدم هنوز روکش آنالوگ هاشم حتی خوردگی پیدا نکرده چه برسه به پاره بشه
شارژ همراه خوب نگه میدارد من با بلوتوث به لپ تاپ وصل میکنم میتونید رنگش رو تغییر بدید ارزشش همه خوبه خیلی خفنه
هر کی میبینه خیلی حال میکنم بهترین تغییرش آنالوگ های مقعرشه",16,1,5,5,5,3
,"کيفيت ساخت","در همان ابتدا ویبره روان کار نمی کرد و حالت لگد زن و غر غر بدی داشت",6,22,2,3,3,3
,,"این دسته عالیه . من بدون هیچ نرم افزاری وقتی با این کابل usb که همراهش هست به کامپیوتر متصل کردم باهاش بازی می کنم .",13,1,3,5,5,4
,,"با سلام
قیمت این کالا تو فروشگاههای دیگه خیلی پایینتره ، منتظرم قیمتش رو دیجی کالا بیاره پایین تا بخرمش
در کل تغییراتی که داشته نسبت به نسل قبلی
نور لایت بار که اضافه شده لامپ جدیدی براش نصب نشه بلکه با یه شیشه اونو از پشت به بالا هم انتغال دادن
مصرف دسته پایینتر اومده
کیت داخلش کوچیکتر شده
دسته رو که قبلا با کابل به دستگاه وصل میکردید فقط شارژ میشد ولی دستورات از طریق بلوتوث ارسال میشد ، ولی الان با کابل هم ارسال میشه تو این مدل
یه خورده هم دسته مات تر شده .",35,1,5,5,5,5
