positivePoints,negativePoints,commentText,like,dislike,"کيفيت عملکرد",ارگونومي,"کيفيت ساخت","امکانات و قابليت ها","ارزش در برابر قيمت"
"دسته عالي با برد عالي
کيفيت بدنه خوب و زيبا
کيفيت بالا رزولوشن
حجم کم در مصرف اينترنت",,"سلام
من کنسول رو از جای دیگه تهیه کردم ولی تجربه چند ساعته رو براتون میگم
این کنسول فقط فقط یک دستگاه بازی نیست و شخصیتی فراتر از یک دستگاه بازی داره
بنابراین جزو آپشن های سیستم صوتی تصویری خونتون محسوب میشه
بازی های رایگان زیادی هست که میتونین از استور دان کنین اما در نظر داشته باشین که خرید یک بازی دیسکی شما حداقل تا هفت هشت ماه راضی نگه میداره
اصلا بازی روش نصب نکنید چون ممکنه دستگاه برک بشه حداقل پول جمع کنین و یه بازی بخرین
دستش عالی هست و برد خیلی خوبی داره
با گارانتی بخرید موغق باشید",5,2,5,5,5,5,5
,,"من هم xbox one داشتم هم ps4
دسته ps4 که خیلییییی بهتر از دستهxbox one
و خود کنسول وعملکرد ps4 خیلی بهتراز xbox one
پیشنهاد میکنم حتماااااا کنسول ps4 رو بخرید من 1 ساله دارم راضیم ازش و هیچ وقت خسته کننده نیست.",17,5,4,3,4,3,3
,,"حرف نداره این کنسول",13,1,4,4,4,4,4
,,"عالی عالی عالی",14,1,5,5,5,5,5
"چندان جالب نيست",,"اقا اینا همش سوسول بازیه یه pc
گیمینگ بخرید با گرافیک 4K بازی کنید گرافیک کامپیوتر اندازه دستگاه ps4 هه",5,57,3,3,3,3,3
,,"قدرتمندترین کنسول نسل هشتمی و قیمت مناسب تر نسبت به کیفیت",13,4,4,5,4,5,5
"مناسب براى تمام سنين،5سال تا 95 سال",,"براى سرگرمى بهترین گزینه ست،هم خود کنسول با کیفیته،هم دسته.رنج قیمت بازیاش اگه استوک بگیرید.تنها فرقش با اکبند یه سلفونه،چون ضد خشِ،به نظرم خیلى جالب تر از ایکس باکسِ",20,1,5,5,5,4,4
"کم صدا شدن","زيبا نيست","سلام به نظرم نسخه اولیه ps4 بسیار شیک تر و زیباتره و این کنسول و نسخه pro زیبایی چندانی ندارن عملکرد این و قبلی یکیه فقط pro از لحاظ گرافیکی 25 درصد بهتر شده البته بازیهارو میتونه در تلویزیون های 4k به حالت 4k اپ اسکیل کنه و البته اگه از اچ دی ار هم پشتیبانی کنه HDR هم میشه پس منتظر نسل 9 تا سال 2019 باشید !",4,20,3,3,3,3,3
"امکانات متنوع و زياد و کيفيت بازي ها","کيفيت ساخت دستگاه و قيمت بازي ها","همه چیش خوبه بجز قیمت بازیاش که میتونید اجاره بگیرید و کیفیت ساخت خود دستگاه پایینه و اگه لبه هاشو تکون بدی لقه",5,40,5,3,2,5,4
"داغ نشدن.بي صدا بودن.ساده بودن سيستم عامل.بازي هاي اختصاصي فوق العاده زيبا","گران بودن بازي ها.کيفيت نچندان خوب بدنه","من حدود دو هفته پیش خریدمش و از بازی کردن باهاش واقعا لذت میبرم.اینکه میگن سر و صداش کمتره رو قبول ندارم در واقع اصلا صدایی از کنسول نمیاد حتی اگه گوشتم بچسبونی بهش کاملا بیصدا هست.شارژ دسته هم دیر تموم میشه٬من چهار ساعت یکسره god of war بازی کردم تازه یک سوم شارژش رفت که واقها تحسین بر انگیزه تازه شوک و اسپیکر دسته هم روشن بود و نورشم کم نکردم.ارگونومی دسته هاش هم بی نظیره.در کل اگه دوست دارید از بازی های روز و با گرافیک بالا نهایت لذت رو ببرید بنظر من حتما یک ps4 تهیه کنید.کیفیت بازی ها و لذتی که میبرید باعث میشه گران بودن دستگاه و بازی ها از یادتون بره!",34,4,5,5,3,4,4
,,"بنده بعد از یک سال استفاده از Xbox One چند روز پیش PS4 Slim رو خریداری کردم. سرعت عمل دستگاه فوق العادست، گرافیک به صورت واضح از ایکس باکس وان بالاتره. کنتراس و نمایش رنگ بقدری بالاست که با اجرای یک بازی در هر دو کنسول و کنار هم قرار دادن شگفت زده شدیم. یک درصد هم در خرید این کنسول شک نکنید. شما عاشق این کوچولوی قدرتمند خواهید شد. خرید PS4 Pro هم پیشنهاد نمیشه. در کل خرید کنسول های بین نسلی شمارو متضرر میکنه. این موضوع رو فقط یک گیمیر حرفه ای درک میکنه.",35,8,5,5,5,5,5
"سخت افزار قوي
گرافيک قوي
ديگه همه چي","نگرد نداره","دوست من همین چند روز پیش خرید.با هم انباکسش کردیم.کیفیت ساختش خیلی عالی بود.نمی دونم چرا بعضی ها میگن بده.وقتی روشنش کرد خیلی خوب بود.نشستیم باهاش 5ساعت بازی کردیم.یه ذره هم صدا نداد.گرافیک و سخت افزارش هم عالیه.من خودم می خوام تابستون بخرم.پرو هم پیشنهاد نمی کنم چون خیلی گرونه و سخت افزارش خیلی هم قوی نشده.الان بهترین انتخاب برای کنسول بازی همین ps4 slim هستش.",22,5,5,5,5,5,5
"عدم توليدصدا
زيبا
کيفيت عالي
دسته بازي باطراحي جديد",0,"اول اینکه کسی که میخواداین کنسول وبخره بایدفکربعدخریدروهم بکنه .بازی.بایدبتونه بازی های100تا200تومانی شوبخره.
این کنسول ازهرنظرعالی فقط اونایی که میخوانps4slimبخرن باید،دقت کنندکه این کنسول تقریبا همونps4معمولی است،شکل کنسول عوض شده،دستش جدیدشده ازنظرچیزای دیگه تغییری نکرده وکیفیتش1080pهستش4kنیست اشتباه نشه.",11,3,5,5,5,5,5
"کيفت بالا مدل جديد","داغ شدن","مدل خوبیه از مدل fatفک کنم کمی بهتره",7,6,4,3,4,3,2
,,"بهترین گیم دنیا",26,18,5,5,5,5,3
,,"خیلی خوبه بهتر از این ندیدم عالی",23,9,5,5,5,5,4
,,"عالی از صبح تاشب بازی میکنم",23,20,5,5,5,5,3
همچي,هيچي,"حرف نداره عالی عالی بازی کنی عاشقش می شی",23,10,5,5,5,5,3
"همه چي","مگه داريم","من این بین این کونسول و 5sموندم که اینو انتخاب کردم واقا عالیه از صبح تاشب بازیش میکنم",18,17,5,5,5,5,5
"تنها کمي کيفيت تصير از ايکس باکس وان بهتر است که با چشم غير مسلح قابل تشخيص نيست","سرعت کمتر نسبت به ايکس وان پشتيباني نکردن از هارد اکسترنال بر خلاف ايکس باکس وان که چهار تا هارد اکستر نال تا هشت ترابايت پشتيباني ميکند
سيستم عامل مضخرف بر خلاف مال ايکس وان که وينوز تنه
ضعف قطعي کمرا نسبت به کينکت ايکس باکس وان
پشتيباني نکردن از هارد اکسترنال بر خلاف ايکس باکس وان که چهار تا هارد اکستر نال تا هشت ترابايت پشتيباني ميکند
داغ کردن تا شصت درجه برخلاف ايکس باکس وان که بالاي 38 درجه گرم نيشود","ایکس باکس وان بهتر از پی اس فور است",12,149,0,0,0,0,0
"کيفيت
سرعت
مهبوبيت
روکردن وسرميه گذار کردن شرکت هاي گيم
بازي هاي انحصاري","خوب کار نکردن در دوربين (کينکت)
و زود گرم شدن","به نظر من کنسول ps4 از نظر گرافیک و فروش و مهبوبیت و طرفداران و سرعت و .... برترینه و این تمامه مشخصاتیه که یه کنسول خوب داره کنسولی که بتونه نظر بازیکنان و خریداران و صاحب نظران را به خود جلب کند بهترین کنسول است تازه سابقه بیشتری در صنعت گیم داره و شرکت های گیم روی اون سرمایه گذاری میکنن این یعنی چی ps4 برتره اگه موافقید لایک یادتون نره",61,9,4,4,5,4,3
,,"این چیزارو آدم با خیال راحت از دیجی کالا میخره،
من که راضی ام. بیمه و گارانتی ام داره.",36,4,3,3,3,3,3
,,"ببینید Xbox one s و ps4 خیلی تفاوت از نظر کیفت ندارند و از نظر گرافیک ولی واقعا نمیشه یه شرکت ژاپنی رو با یه کمپانی آمریکایی مقایسه کرد اونایی که میگن ps4. بهتره از Xbox one s بهتره بیشتر تحقیق کنند من هم ps4 دارم و هم Xbox one s و واقعا به شما حاضرم ثابت کنم Xbox one s از هر لحاظ بهتره فقط به خاطر تحریم ها اتصال به اینترنتش مشکل تره همین",16,74,2,2,1,3,4
"همه چي",هيچي,"عالیه من خریدم امیدوارم خوب باشه",31,6,5,5,5,5,5
"باارزش در برابر قيمت","بازي هاي بسيار گران","به نظر من پلی استیشن 4 در برابر ایکس باکس 360 خیلی بهتره. من پیشنهاد میکنم شما هم این محصول رو خریداری کنید.",22,13,5,4,4,3,5
"هر چي که از يک کنسول بخواي",نداره,"این کنسول به نظر من یه شاهکاره. بازی کال اف دیوتی رو تو چند ثانیه نصب و اجرا کرد.بازی رو خیلی روون و با کیفیت نشون میده. اصلا صدا نمی ده حتی اگه گوشت رو هم بزاری روش هیچی نمی شنوی. تو خریدش شک نکنید مخصوصا از دیجی کالا چون هم قیمتش نسبت به بیرون به صرفه تره و هم میدونی جنسی که میگیری اصله. امیدوارم به دردتون خورده باشه. یا علی.",20,6,5,5,5,5,5
"هر چي که از يک کنسول خوب مي خواي",نداره,"من این کنسول رو حدود یک هفته ای هست که گرفتم ولی به هیچ وجه هم پشیمان نیستم. بازی کال اف دیوتی",10,5,5,5,5,5,5
"همه چي","بازي هاي گران","واقعا کنسول خوبیه
هیچ ایرادی نمی تونین ازش بگیرین
فقط برای امثال که من پی سی بازن دوال شوک یکم سخت تو بازی ها و همین جا از دی جی خواهش می کنم موس و کیبوردی که برای این کنسول طراحی شده رو بیاره حتما فروش خوبی خواهد داشت",12,3,4,4,4,4,4
"داغ شدن اصلا نداره تنها يهد از سه ساعت در بازي هاي پر گرافيک گرم ميشه صداش واقعا و بدون اغراق خيلي کمه","نازک بودن بدنه","در کل فوق العاده برا گیم است",3,2,5,4,3,5,5
"داغ شدن اصلا نداره تنها يهد از سه ساعت در بازي هاي پر گرافيک گرم ميشه صداش واقعا و بدون اغراق خيلي کمه","نازک بودن بدنه","در کل فوق العاده برا گیم است",3,2,5,4,3,5,5
"قيمت مناسب
سرعت واي فاي بيشتر.
سر و صداي کمتر.
مصرف برق کمتر
گرماي کمتر هنگام بازي و داراي امکانات ps4","نداشتن پورت اپتيکال صدا
کيفيت ساخت پايين","سلام. من خودم الان 14 سالمه آخرین کنسول بازی هم که داشتم یه ps2 بود! در حال حاضر با یه لپ تاپ اچ پی رم 6 دارم زندگی می کنم. قراره 4 تیر که تولدمه پدرم برام یه کنسول بخره. منم گفتم ps4 pro خوبه ولی بعد فهمیدم باید تلویزیون 4k باشه تا تغییر رو احساس کنی و من هم تلویزیون 4k ندارم. پس تصمیم گرفتم یه پله بیام پایین تر. در حال حاضر سونی داره ps4 slim رو با قدرت ps4 (که از xbox one و Xbox One S بهتره) عرضه می کنه. هم چنین ps4 slim از وای فای سریعتری نسبت به ps4 معمولی برخورداره و مصرف برق کمتری داره و کمتر داغ می شه و صدای کمتری تولید می کنه. تنها نقطه ضعفش نداشتن پورت اپتیکال صدا است. قیمتش هم از همه کنسول ها پایین تره. اونایی هم که میگن کیفیت کنسول اومده پایین باید بگم دوست عزیز شما که قرار نیست با خود کنسول بازی کنید! شما قراره با دسته اون بازی کنید که همون دسته ps4 pro هستش و یه حس عالی به آدم می ده. در ضمن تو ایران کلی بازی ps4 با قیمت مناسب پیدا می شه که قیمت خوبی هم دارن. حالا نمی دونم چرا بازم بعضیا سراغ xbox می رن!
ببخشید سرتون رو درد آوردم!",44,4,5,5,5,5,5
"دوال شوک باتري خوبه.
تعداد انحصاري بالا. گرافيک20","هيچ. فقط نظرات الکي ما هست","عالی من مدل 2016 رو دارم. کم نیاورده. بازی های last of us با uncharted رو روش اجرا کردم اخ نگفته. واقعا توصیه میکنم",9,2,4,4,4,5,3
"همه چي عالي","قيمت بازيها","من بعد از کلی تحقیق وپرس وجو خریدم گرافیک بازیهاش عالیه یعنی اگه تو کامپیوتر بخوای بازی کنی حداقل باید بالای سه تومن پول بدی یه مزیتی که داره دیگه مثل کامپیوتر نیاز به نصب طولانی مدت نداری اگه اونم شاید ایراد بده ولی کنسول این مشکلاتو نداره و میتونی انلاینم بازی کنی.",11,0,5,5,3,5,5
,,"این موارد تجربه من از داشتن هر دو کنسول بود.من هر دو مدل رو دوست دارم البته الان با نقاط قوت بیش تر اسلیم را ترجیح می دهم:
نقاط قوت ps4اسلیم:
1-سبک تر ، کوچک تر
2-آسان تر شدن پروسه تعویض هارد دیسک
3-صدای کم تر(البته مدل معمولی 1216aهم صداش نسبت به مدل قبلی کم تر شده بود،ولی مدل اسلیم از این هم یه مقدار کم تر شده)4
-چیپ16 نانو متری (چیپ مدل قدیمی 28 نانو متری)در نتیجه کم تر گرم میشه.
5-طراحی جدید دسته:نور دهی تاچ پد هماهنگ با نور نشان گر پشت دسته و شارژ بیش تر نگه می دارد
6-مصرف انرژی بهینه تر و کم تر :مصرف اسلیم :165 وات ،مصرف معمولی : 250 وات.6- مدل جدیدتر و دیگه از این مدل تولید میشه.
7-قسمت پشت دستگاه کم حجم تر شده.

معایب 1- کیفیت دسته و بدنه نسبت به مدل معمولی به نظر میاد کم تر شده،دسته اسلیم سبک تر و مات شده ولی دسته معمولی وزنش بیش تر بود و مشکی بود.بدنه معمولی انگار محکم تر و زیباتر بود با نور قسمت خط میانی که داشت.2
-حذف پورت اپتیکال.که هر دو عیب زیاد مهم نیستن.",3,0,5,5,3,5,3
,,"من طرفدار سرسخت پی اس فور هستم و معتقدم تمام امکانات این کنسول بالاتر از کنسول مایکروسافته به جز کینکت که یک مقدار بازی های گسترده تری نسبت به وی آر سونی داره
اما چیزی که هست اینه که کسایی که فیفا باز هستن و آلتیمیت بازی میکنن قیمت بازیکن ها توی پلی استیشن بیشتر از ایکس باکس که خب این مربوط میشه به یک نوع جذب مشتری !!!",4,3,5,5,5,5,5
"اجرا کردن بسيار باکيفيت بازي هر هد لاليگا",هيچي,"من حدود 5 ماه هست که این کنسول رو دارم و خیلی ازش خوشم امده ولی یه بدی که دلره قیمت بازی هاش گرونه",3,0,5,5,5,5,5
"امکانات وهابيت هاي خوبي دارد",نداره,"حتما پیشنهاد می کنم عالی",3,1,3,3,3,3,3
"گرافيک فوق العاده نسل هشتمي
ديسک بلوري
شبکه psn
بازي هم به صورت فيزي و هم به صورت ديجيتالي
دوال شاک 4 و غيره که جا نشد ادامه بدم!","واقعا نداره واااقعا","کنسول پلی استیشن پرفروش ترین کنسول حال حاضر امریکا و دنیاست که با فروش بیشتر از 50 میلیون نسخه بیشترین تعداد رو رکورد زده البته این خبر ماله چند ماه پیشه.
پلی استیشن 4 به دلیل اینکه بازی هاش بر روی دیسک بلوری هستش واقعا کیفیت فوق العاده ایی داره که هنوز کنسول دیگه ایی نتونسته بزنه.
کنسول بازی مثل موبایل نیستش که تا جدید اومد خستتون کنه یا هر روز یه مدل بهتر بده پلی استیشن تهش دیگه هر پنج شیش سال یبار یا بیشتر مدل جدید میده یعنی خیالتون از اون بابت راحت باشه. این کنسول با اینکه وسیله بازیه اما اسباب بازی نیست واقعا. من از پلی استیشن یک داشتم تا همین چهار و حتی کنسول دستیش یا همون psp هم داشتم و دارم فوق العاده ترین کنسول بازی دنیاست واقعا. اینجا بحث کنسول های دیگه نیست اما اگه بین این و ایکس باکس موندین بدون حتی یه درصد شک اینو انتخاب کنید من تعصب انچنانی ندارم روش و میگم ایکس باکس هم خوبی های خودشو داره اما اگه کار دستتون باشه خودتون متوجه میشید این کنسول بهتره به دلیل انحصاری های فوق العادش مثل انچارتد و لست اف اس و فروش بیشترش.
خود دسته پلی استیشن اونقدر قابلیت داره که واقعا خودتون میتونید با دستش سرگرم بشید!
صفحه لمسی
اسپیکر
ژیروسکوپ
جک 3/5 m
لایت بار برای موو
همش داخل خوده دسته هست.
حالا من هرچی بگم کم گفتم ولی تا اینجاش هم زیاد گفتم براتون ببخشید سرتون رو درد اوردم یا علی",54,10,5,5,5,5,5
"بي رقيب","بازيهاي کم","درکل بهترین کنسول بازی",18,2,5,5,5,5,5
"فن قوي تر","کيفيت پايين تر","با سلام خدمت همه بچه های دیجی کالا اول می خوام از صداقت دیجی کالا و گفتن حقیقت در مورد این کنسول تشکر کنم واقعا این کنسول نسبت به مدل قبلی کیفیت پایین تری داره ولی برای استفاده خانگی مناسب تره ولی پیشنهاد میکنم اگر قصد خرید دارید تا مدل قدیمی کم یاب نشده بخرید چون هزینه تولید اون مدل خیلی بیشتر از این مدله و زیبایی خاصی داره بازم انتخاب با شماس در نهایت تا چند ماه آینده دیگه آکبند مدل قدیمی رو نمی بینید پس تا فرصت هست که نو بخرید بگیرید من مدل قدیمی رو دارم که اصلن اضیتم نکرده و ازش راضی هستم با تشکر از بچه های زحمت کش دبجی کالا ممنون",16,19,2,1,0,3,2
,,"تبریک می گم آقای اسماعیل زارع. مبارکتون باشه. دعا کنید ما هم بتونیم خانوم رو راضی کنیم و بگیریم...",18,2,5,4,5,5,4
"بازي هاي انحصاري","قيمت بازي و الزامي بودن وجود ديسک در دستگاه حتي پس از نصب","خوبه تو شگفت انگیز ولی برا بازی وقت میخاد که من ندارم.....",10,13,5,4,4,4,3
"انشالله که خوبه","انشالله که نداره","تو پیشنهاد ویژه با گارانتی و بیمه قیمتش خیلی خوبه،نسبت به جاهای دیگه مناسبتره،انشالله که بیمه و گارانتی درست و حسابی پشتیبانی کنه و فقط پول اضافه به چند برگه کاغذ نداده باشیم، انشالله سال 96 سال خوبی برای همه باشه،",70,9,3,3,3,3,3
,,"من امروز بدستم می رسه",16,26,5,5,5,5,5
"کوچک بودن و زيبا بودن دسته
کنسول جمع و جور و خانگي
کيفيت بالا هم در ساخت و هم در کيفيت","قيمت بالاي بازي ها","از نظر من کنسول خیلی خوبیه و برای خریدش شک نکنید",24,3,5,5,5,5,5
,,"به نظر من نسخه اسلیم خیلی بهتر از نسخه معمولیه و کسانی که میخوان اقدام به خریدن پی اس فور بکنن اصلا نباید نسخه معمولی رو بخرن چون هم قدیمی‌تره هم از لحاظ دسته و زیبایی و لگ زدن هم خیلی بهتر از معمولیه",32,16,5,5,5,5,5
"کيفيت بالا در تمامي نسخه ها
ظاهري زيبا
دسته خوش دست
صداي فت بسيار کم
داغ نکردن",,"سلام،من پس از بررسی ها تصمیم خرید این کنسول رو کردم نسخه اسلیم و میخوام یک توضیح کلی در باره این کنسول بینظیر بدم،اگر از هزینه بازی های این کنسول بر میاید،باید این کنسول رو بخرید،وا در عوضش یه کنسول عالی تر از عالی دارید اگر بخواید این کنسول رو با ایکس باکس مقایسه کنید باید بگم سخت در اشتباهید، ایکس باکس به هیچ عنوان به پلی استیشن 4 نمیرسه،و اما یک توضیح درباره این نسخه از کنسول،این نسخه واقعا سبک تره ولی به نظر من این چیز چشم گیری نیست چون ما همیشه نمیخواهم کنسولمون رو حمل کنیم،ولی 2 تا از چیزهای عالی که این نسخه از کنسول داره اینکه واقعا صداش بسیار کنه و واقعا داغ نمیکنه و این چیزی هست که من و خیلی های دیگه میخوایم،ولی من در کل پلی استیشن رو پیشنهاد میکنم نه ایکس باکس رو،حالا چه اسلیم چه فت،",15,9,5,5,5,5,5
"همچيش عاليه‌",ندارد,"پیشنهادمیکنم.من از بازار خریدم",6,2,5,5,5,5,5
"ارزش در برابر قيمت
طراحي زيباتر",,"من این کنسول رو از مغازه دار خریدم البته 1ترابایت ولی به نظر من برخلاف اکثر نقد و بررسی ها دارای کیفیت خیلی خوبیه و مات بودن تمامی بدنه و آرم براق ps واقعا زیبایی خوبی بهش داده من بازی گرافیکی هم باهاش بازی کردم آخ نگفت و بعد از حدود سه ساعت بازی کردن فقط گرم شد و اونقدر داغ نکرد",29,3,4,5,5,5,5
,"قيمت بازي","بسار عالی کیفیت فوق العاده تصویر",18,5,5,5,3,5,5
"قدرتمند
کم صدا
باکلاس","گران بودن بازي ها","سلام دوستان عزیز،اگه یه کنسول قدرتمند میخواین اینو بگیرین مطمئنا پشیمان نمیشید",21,3,5,5,5,5,5
"کيفيت بازي هاي عالي
شکل ظاهري خوب",,"بسیار دستگاه خوبیه من که ازش خیلی راضی هستم
کیفیته بازی هاش هم که حرف نداره",10,3,5,5,5,5,5
"همه چيش عاليه","نبود بازي برا فروش در ديجي کالا","با سلام: همه چیه این دستگاه خوبه کارشم خیلی درسته فقط اگه دیجی کالا بازی ام برا فروش بزاره دیگه واقعا حرف نداره لا اقل fall out4رو بزار برا فروش، دمتون گرم.",24,5,5,5,5,5,5
,,"از نظر بی صدا و سبک بودن عالیه،،،،ولی از نظر زیبایی معمولیه،،خطوط تیز رو برداشتن،،،در صورتی که خطوط تیزه در مدل قبلی بسیار چشمگیره و خاصه،،از نظر من مدل قبلی باحال تره",16,9,3,3,3,3,3
,,"در مورد این کالا باید بگم که خودم همین مدل رو به تازگی خریداری کردم و خیلی هم راضیم و خرید مدل قدیمی رو پیشنهاد نمیکنم
اما نظر رو برای این دادم که بگم بنده بیش از یک ماه پیش قبل از اینکه بخرم گزینه اطلاع رسانی برای موجود شدن رو فعال کردم و تازه امروز ایمیل دریافت کردم
امیدوارم که تیم دیجیکالا برای موجود کردن کالاها بهتر از این اقدام کنه",12,8,5,4,4,5,5
"کيفيت ساخت عالي
گرافيک عاليه بازي ها بر روي اين کنسول
دسته فوق العاده
1tb حجم","قيمت بازي ها گران","اسلیمش خییییلی بهتر از معمولیشه چون کمتر داغ میکنه و صدا زیاد نداره و دستش شارژ بیشتر نگه میداره و کوچک تر شده و وزنش کم تر شده و بسیار زیبا تر شده و ...
مخصوصا مدل 1tb که حجمش بسیار زیاده برای بازی ها خودم دقیقا همین رو دارم و بسیار راضیم و شدیدا توصیه میکنم",16,10,5,5,5,5,5
"صداي کم و زيبا و کوچک داغ هم خيلي نمي شه",نداره,"سلام نسخه اسلیم بگیرید بهتر.",14,8,5,5,5,5,5
,,"من اینو امروز خریدم عالیه حتما از دیجیکالا بگیرید نسبت به جاهای دیگه ارزون تر",11,48,5,5,5,5,5
"سرعت بالاي کنسول
طراحي نسبتا بهتر از مدل معمولي
ابعاد کوچکتر نسبت به مدل معمولي","کيفيت پايين ساخت کنسول
کيفيت پايين ساخت دسته
رايگان نبودن آنلاين بازي کردن","این کنسول نسبت به قیمت ارزش خرید دارد.
من یک دسته و یک گیفت کارت هم خریداری کردم.
و مثل همیشه دیجی کالا زود ارسال کرد و تحویل داد.
امیدوارم اگر می خرید لحظات خوشی را با این کنسول سپری کنید.",21,10,5,3,3,4,4
