positivePoints,negativePoints,commentText,like,dislike,"کيفيت عملکرد",ارگونومي,"کيفيت ساخت","امکانات و قابليت ها","ارزش در برابر قيمت"
"کيفيت بالا
ظاهر زيبا
ارزاني",ندارد,"سلام من این کنسول رو از اهواز گرفتم بیییییییییی نطیره کیفیت عالی داره با حجم کم و ظاهر بسیار زیبا حتما پیشنهاد میکنم نسخه slim رو بگیرید",1,0,5,4,5,4,5
"همه چيز
",هيچي,"حتما بخرید علی هست در خریدش شک نکنید",3,3,5,5,5,5,3
"دسته بازي عاالي
سخت افزار خوب","قيمت بالا
عدم پشتيباني از 4k و HDR","نسبت به Xbox one s ضعیفتره در صورتی که قیمتاشون تقریبا یکسانه ولی دستش بینظیره",7,12,4,4,2,4,2
"طراحي زيبا
گرافيک عالي
جنس بدنه",ندارد,"بهترین کنسول برای بازی",7,5,5,5,5,5,5
"همان نقات قوت ps4","گراني ان با توجه به اينکه تفاوت زيادي با ps4 معمولي ندارد","سلام دوستان این نسخه slim بسیار خوب هستش ولی من توصیه میکنم همون ps4 معمولی رو بخرین البته نسخه 1216 ps4 رو بخربن که یا همون نسخه مات کامل که تو این نسخش مثل همین اسلیم مشکل داغ کردن و سر و صدا نداره وباید بگم که نسخه اسلیم با معمولی در اجرا بازی ها هیچ تفاوتی ندارند و خود من ps4 1216b خریدم و کاملا راضی ام",5,2,5,5,5,5,2
باکيفيت,گران,"حتما بخرید",3,3,5,5,5,5,5
"کيفيت ساخت عالي","حساس و نياز به مراقبت","سلام من این دستگاه رو سه روز قبل خریدم و وقتی دستم رسید دیسک رو که توش گذاشتم هیچ مشکلی نداشت ولی وقتی خواستم دیسک رو در بیارم در نمی اومد از برق کشیدمش و بعد زدم تو برق دیسک در اومد ولی دیگه دیسک داخل نمیرفت.
حالا هم پس فرستادم منتظرم یکی دیگش بیاد باید خیلی مراقب باشید.
.ps4 slim خیلی حساسه
تو خریدتون خیلی خیلی دقت کنید.",9,15,3,5,5,5,5
گرافيک,گراني,"خلاصه بد نیست",10,2,5,5,5,5,5
,,"من این کنسولو از بیرون خریدم اصلا صدا نداره تازه مثل مدل قبل هم داغ نمی کنه",9,4,5,5,5,5,5
"ساپورت در کشور گرافيک خوب بدنه عالي","گراني بازي ها","بسیار بهتر از ایکس باکس است . در کشور ما ساپورت میشود و تحریم نیستیم از این بابت چون محصول ژاپن است .",32,8,5,5,5,5,3
"بازي باکيفيت، ظاهر زيبا ، سخت افزار قوي","فقط يکم شارژ گيم پد زود تموم ميشه بر خلاف ايکس باکس","دوستان اگه این کنسولو نخریدین و میخواین بخرین فقط دقت کنین که بدون باندل بخرین که با باندل ارزش خرید نداره میتونین بازیو دست دوم با قیمت خیلی کمتر بگیرید و همون اول هزینه زیادی پرداخت نکنید، میخواستم اول ایکس باکس بگیرم اما فقط بخاطر بیشتر موجود بازیهای ps4این کنسولو گرفتم فرقی ندارند هر دو خوبن اما تو ایران فک کنم ps4بهتر باشه چون بازیاش راحتر گیر میاد امیدوارم کمک کرده باشم سپاس",30,7,5,5,5,5,4
"کم صدا بودن
سبک تر بودن",,"اگه یه کنسول خوب و ارزون می خواهید من اینو به شما پیش نهاد می کنم",13,13,5,5,5,5,5
"طراحي زيبا
ارزش در برابر قيمت",,"من این کنسول رو از مغازه دار خریدم البته 1ترابایت ولی به نظر من برخلاف اکثر نقد و بررسی ها دارای کیفیت خیلی خوبیه و مات بودن تمامی بدنه و آرم براق ps واقعا زیبایی خوبی بهش داده من بازی گرافیکی هم باهاش بازی کردم آخ نگفت و بعد از حدود سه ساعت بازی کردن فقط گرم شد و اونقدر داغ نکرد.",22,9,5,5,5,5,5
