positivePoints,negativePoints,commentText,like,dislike,"کيفيت ساخت","سهولت در استفاده","امکانات و قابليت ها","ارزش خريد به نسبت قيمت"
"سبک هست","گرافيک پايين
وجود سيم و کابل زياد
تراکم پيکسلي بسيار پايين","دوستان خیلی صادقانه و بدون هیچ اقراقی و تعصبی میگم واقعا ارزش خرید نداره
اولا که کلی کابل و دردسر داره اینو بگم کلا میز تلوزیونو اشغال میکنه سیم هاش
گرافیک که واقعا پایینه و تراکم پیکسلی صفر
من نمیدونم چرا تو نظرات انقد تعریف شده از این محصول بی ارزش
من خودم طرفدار ps هستم و اینو بدون اقراق گفتم
دیجیکالا لطفا مظرمو بزار همه مطلع بشن و قبل خرید تست کنن تا مثل من بعده خرید پشیمون نشن",20,42,0,0,0,0
"سهولت در استفاده -افزايش جذابيت بازي",-,"واقعیت مجازی یا Virtual Reality که به اختصار با حروف VR نمایش داده می‌شه تلاش بشر بوده برای برداشتن مرزهای بین فضای واقعی و فضای مجازی.بازی کردن با این عینک جذابیت بازی رو هزار برابر میکنه .‌بخصوص بازی resident evil که سرشار از ترس و هیجان هست . یه حس غیر قابل توصیف رو بهتون القا میکنه که حضور در محیط بازی رو واقعا حس میکنین و واقعا فقط خودتون باید تجربش کنین .
تنها ایرادی که میشه از این عینک گرفت بخار کردن شیشه های اون در هنگام بازی کردن هست که گاهی پیش میاد و باعث میشه بازی رو نگهدارین و بخار رو پاک کنین و به بازی ادامه بدین",7,5,5,5,5,5
,"اينکه سيم داره و","خیلی دستگاه باحالیه و البته خیلی هم جا داره و ایکاش یه دوربین هم تو خود عینک داشت تا هر وقت دلت خواست بتونی محیط اطرافت و ببینی
ولی انهایی که خریدن اگر خط و خش روی لنز یا همون عدسی خط و خش افتاد و تار دیده شد نترسید فقط کافیه با دستمال خودش و براق کننده فلزات رو که یه کم به کل عدسی بمالید و بعد از 2 دقیقه به صورت دورانی انقد بسابید که تمام اثر جلال سنج دیگه حس نشه و وقتی دارید پولیش میکنید متوجه صیغل و نو شدن عدسی رو میبینید اصلا از پنبه استفاده نکنید",7,14,3,3,3,3
,,"حتما بخرید ولی مراقب باشید برای افراد پایین 13 سال مناسب نیست پیشنهاد میکنم باهاش رزیدنت اویل بزنید که بفهمید ترس واقعی یعنی چی!!!",9,8,5,5,5,5
,,"من خریدم عالیه حرف نداره پیشنهاد میکنم شما هم بخرید قیمت هم ک عالی",15,103,5,5,5,5
,,"این اولین تجربه سونی در زمینه واقعیت مجازیه و مطمئنا خیلی کار داره تا به کیفیت هدست هایی مثل آکیلس یا htc برسه ..
هر چیزی که مارکش معروفه که خوب نیست",25,186,2,3,1,0
,,"یه مقدار گرونه ولی عالیه",114,15,3,3,3,3
"کيفيت خوب پخش صدا با استريوي مخصوص سوني هيجان انگيز و خوب کيفيت عالي ظاهر زيبا","چشم رو ضعيف ميکنه قيمت کاملا .....","عالی و باکیفیت خیییلییی حال میده بازی باهاش ولی خیییلییی گرونه از خود ps گرانتره و چشم رو هم ضعیف میکنه ارزش خریدش صفر ولی تا چند وقت دیگه 100 درصد ارزون تر میشه",74,53,5,4,5,0
"کيفيت نوآوري",قيمت,"هدست واقعیت مجازی بی نظیری فقط قیمتش بالاست من قصد خرید دارم اما بازی هاشم گران و کم ولی بازم عالی",44,14,0,0,0,0
,,"سلام
من این وسیله رو تونستم تست کنم یه گیمنت توی بوستان پونک هست به نام گیملند، اونا اوردن. حداقل جهت تست خوبه. خیلی جذابه. به نظرم ارزش داره. مرسی از دیجی کالا که با قیمت مناسبتر نسبت به جاهای دیگه موجود کردین.در کل به نظرم تجربه فوق العاده ای بود. سطح گرافبک عالی و بازی های خوبی هم براش اومده. بازم ممنون از دیجی کالا",34,7,5,5,5,3
,,"دوستان توجه بفرمایید این مدل دارای جوی استیک نیست . مودل بالاتر از این دارای یک جفت جوی استیک میباشد",11,28,5,3,3,2
"خيلي عالي کيفيت خيره کننده اي داره","گرانه و ارزش خريد نداره","اینو یکی از دوستام داشت راستش حرف نداره ولی خییببببلی گرونه حتی از خود ps4 گرون تره اگه ارزون تر بود میشه گفت به سرفه تره",36,18,5,5,5,0
,,"من تو خرید بازی هاش موندم،،،فک کن اینم بخرم
اصلا ب همچین قیمتی نمی ارزه تمام.",60,17,3,3,3,0
,,"خیلی با کیفیته",11,22,3,3,3,3
,,"خیلی خوبه چون که به xbox one s هم متصل میشه",13,50,3,3,3,3
,,"من اینو در گیم نت تجربه کردم
باید بگم که واقعا تجربه فوق‌العاده ای بود، فقط دوستانی که چشمشون شماره داره پیشنهاد نمیکنم چون باعث سرگیجه و سردرد میشه ولی درکل وسیله ی خیلی خوبی هستش مخصوصا برای بازی های ترسناک مثل رزیدنت اویل که تجربش تو واقعیت مجازی عالیه.
قیمتشم میتونست کمتر باشه چون زیاد بهش نمیخوره که دو میلیون پول خورده باشه
در پناه حق.",42,13,4,5,5,3
,,"بلخره این محصول محبوب هم اومد",13,15,5,3,3,3
,,"حتما بخرید خیلی خوبه از کینکت ایکس باکس خیلی بهتره.....",19,27,5,5,5,5
,,"بسیار عالی و سرگرم کننده",12,12,5,5,5,5
"کيفيت عالي ساخت
زيبايي",قيمت,"عالیه یعنی با یه Play Station 4 pro میتونه به اندازه یه سیستم گرون براتون بازی خون باشه.",11,16,5,5,5,5
,,"عالیه به خاطر قیمتش نمی گم معرفیشو ببینید با من هم عقیده میشین",12,12,5,5,5,5
,,"عالیه این دستگاه ممنون از یجی کالا .",12,11,5,5,5,5
"دروازه اي جديد از بازي",,"فقط همین چیز برای کنسول ها کم بود ولی با این احساس میکنی توی بازی هستی و واقعا من بتمن رو بازی کردم وحشدناک بود و کاملا منو برد تو جو بازی.",14,9,5,5,5,5
,,"من این دستگاه رو یک هفته پیش برام از دبی اوردن اگه دنبال هیجان هستید یا اینکه خوب خوب بتونید روی بازی تمرکز کنید حتما این وسیله رو بگیرین خیلی باحاله",12,18,5,3,5,3
"همه چي",هيچي,"پیشنهاد میکنم حتما بخرید من که میخرم",12,16,5,5,5,5
,"گروني و کمبود بازي","من یکماه پیش خریدم اما نه از دیجی کالا،این دستگاه واقعا شماره میبره تو دنیایی مجازی اما هنوز چون بازی زیاد براش نیومپه بکی از ضعف های این دستگاس.هرکی توان خرید داشته باشه حتما بخره",14,15,3,3,3,3
"طراحي زيبا و راحت در عين حال تصوير عالي با قيمت بسيار مناسب. دوستان توجه کنيد که ريال ما ضعيف شده و اگه واسه ما گرونه بخاطر بي ارزش شدن ريال ماست. در اروپا و امريکا واقعا"" ارزون هستش.","هنوز به تکامل نرسيده و راه زيادي تا مقصد نهاييش داره","از بازار برای کسی تهیه کردم. واقعا"" هیجان انگیزه .یه تجربه منحصر به فرد. ولی بنظر من این وسیله تا پختگی کامل راه زیادی در پیش داره. در کل در میان عینکهای واقعیت مجازی در بازار این vr حرف اول آخر رو میزنه... از همه لحاظ",16,13,5,5,5,5
,,"خیلی دلم میخواد امتحانش کنم چون مقام بالایی گرفته .
مطمئن باشید دنیاش با دنیای عینک های دیگه متفاوته",11,6,3,3,3,3
,"قيمت بالا","درسته که یه حس جدیدی رو بهت میده واقعا غیر قابل مقایسه با کینکته ولی واقعا قیمتش بالاست ولی به حقه",8,11,5,5,4,1
"همه چي",هيچي,"این برای ps4 طراحی شده اما فکر کنم روی ps4 معمولی درست جواب نده باید ps4 pro گرفت",6,53,5,5,5,4
"همي چي",هيچي,"این دستگاه عالیه هر لحاظ",8,7,5,5,5,5
,,"سلام دوستان من این محصول رو خریدم عالیه ولی واسه خریدش عجله نکنید",11,19,5,5,5,2
,,"واقعا عالی و با کیفیت و سریع",10,10,5,5,5,5
,,"من هنوز نخریدم....ولی پیشنهاد میدم حتما بخرید خیلی خوبه.......",13,18,5,4,5,3
,,"عالیه به خاطر قیمتش نمی گم معرفیشو ببینید با من هم عقیده میشین",12,12,5,5,5,5
,,"عالیه این دستگاه ممنون از یجی کالا .",12,11,5,5,5,5
"دروازه اي جديد از بازي",,"فقط همین چیز برای کنسول ها کم بود ولی با این احساس میکنی توی بازی هستی و واقعا من بتمن رو بازی کردم وحشدناک بود و کاملا منو برد تو جو بازی.",14,9,5,5,5,5
,,"من این دستگاه رو یک هفته پیش برام از دبی اوردن اگه دنبال هیجان هستید یا اینکه خوب خوب بتونید روی بازی تمرکز کنید حتما این وسیله رو بگیرین خیلی باحاله",12,18,5,3,5,3
"همه چي",هيچي,"پیشنهاد میکنم حتما بخرید من که میخرم",12,16,5,5,5,5
,"گروني و کمبود بازي","من یکماه پیش خریدم اما نه از دیجی کالا،این دستگاه واقعا شماره میبره تو دنیایی مجازی اما هنوز چون بازی زیاد براش نیومپه بکی از ضعف های این دستگاس.هرکی توان خرید داشته باشه حتما بخره",14,15,3,3,3,3
"طراحي زيبا و راحت در عين حال تصوير عالي با قيمت بسيار مناسب. دوستان توجه کنيد که ريال ما ضعيف شده و اگه واسه ما گرونه بخاطر بي ارزش شدن ريال ماست. در اروپا و امريکا واقعا"" ارزون هستش.","هنوز به تکامل نرسيده و راه زيادي تا مقصد نهاييش داره","از بازار برای کسی تهیه کردم. واقعا"" هیجان انگیزه .یه تجربه منحصر به فرد. ولی بنظر من این وسیله تا پختگی کامل راه زیادی در پیش داره. در کل در میان عینکهای واقعیت مجازی در بازار این vr حرف اول آخر رو میزنه... از همه لحاظ",16,13,5,5,5,5
,,"خیلی دلم میخواد امتحانش کنم چون مقام بالایی گرفته .
مطمئن باشید دنیاش با دنیای عینک های دیگه متفاوته",11,6,3,3,3,3
,"قيمت بالا","درسته که یه حس جدیدی رو بهت میده واقعا غیر قابل مقایسه با کینکته ولی واقعا قیمتش بالاست ولی به حقه",8,11,5,5,4,1
"همه چي",هيچي,"این برای ps4 طراحی شده اما فکر کنم روی ps4 معمولی درست جواب نده باید ps4 pro گرفت",6,53,5,5,5,4
"همي چي",هيچي,"این دستگاه عالیه هر لحاظ",8,7,5,5,5,5
,,"سلام دوستان من این محصول رو خریدم عالیه ولی واسه خریدش عجله نکنید",11,19,5,5,5,2
