positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي فيلم برداري","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
,,"کیفیت عکس در شرایط نوری مناسب فوق العادس!!! اما نمیتوان روی آن به عنوان دوربین عکاسی که نیازهای عکاسی رو برآورده کرد حساب باز کرد! باید یادمون نره که رسالت دوربین های ورزشی فیلمبرداری در شرایط خاصه و این کار رو به بهترین نحو انجام میده",3,1,0,0,0,0,0
,,"سلام دوستان الان حدود یک ماهه که این دوربین به دستم رسیده...از لحاظ کیفیت عکس و فیلم باید بگم که فوق العادس و تنها چیزی که کمی ضعیف تر از گوپرو داره فیلمبرداری 4K هستش که اون هم برای بیش از 95 درصد کاربرا ابدا کاربرد نداره و کیفیت 1080 تمام نیازهای شما رو برآورده میکنه
تنها چیزی که کمی ناراحتم کرد کیفیت صدابرداریه که یک نویز دایمی در حین فیلمبرداری هستش...و خوشحال میشم کسایی که با این دوربین کار کردن بهم بگن که آیا ایرادی داره یا نه چون کسایی که خدمات این دوربین رو کار میکنن میگن که کاملا طبیعی هستش و به خاطر صدابرداری مونو این نویز اتفاق میوفته...البته باید بگم برای فیلم برداری ورزشی به خاطر ازدیاد صدا تقریبا هیچ نویزی احساس نمیشه و شاید دریافت و درک این مشکل یه کم به خاطر نکته سنجی بنده هستش!
در کل باید بگم که خیلی راضی ام ازش و باید بگم که رابط کاربریش با پوشش محصول به مراتب قوی تر از گوپرو هستش که این خودش برای من خیلی ارزشمنده!",5,2,0,0,0,0,0
,,"دیجی جان چی به سر باطری اضافش آوردین",0,0,0,0,0,0,0
,,"سلام دیجی جان میشه لطفکنین بگین ریموت داخل پک هست یا نه؟",2,0,0,0,0,0,0
,,"سلام
دی جی لطفا اطلاعات جامعی از کارکرد دوربین بگذار چون موندم روی خرید این برند یا گوپرو
کیفیت عکس و فیلم برداری در شب چظوره؟ و اینکه مونوپاد گوپرو این دوربین رو ساپورت میکنه؟
و تجهیزاتی مانند کیف و مونوپاد برای این برند رو هم فراهم کنید.
دی جی یه محصول برای فروش گذاشتی ولی هیچ اطلاعاتی دربارش ندادی... لطفا اطلاعات فروش رو کامل کنید
ممنون",3,0,0,0,0,0,0
,,"بچه ها می دونید چه جوری می شه عکس هاشم تو گوشی سیو کرد",1,0,0,0,0,0,0
,,"بچه ها کسی میدونه چه جوری عکس هاشو یا تو گوشی سیو کرد",0,0,0,0,0,0,0
,,"سلام دی جی
چرا درباره این دوربین نقد و بررسی نگذاشتید؟
خیلی کمک میکنه توی خرید
ممنون",1,0,0,0,0,0,0
,,"این ریموت داره که !!!!!!
پس چرا توی عکساش نیست؟!!!!",2,0,0,0,0,0,0
,,"لوازم جانبی ِ گو پرو هیرو که تووووی بازار موجوده آیا به این کالا هم میخوره ؟ یا اصلا آیا لوازم جانبی هاش تووو بازار ِ ایران هست آیا ؟",1,0,0,0,0,0,0
,,"دیجی کالا خواهش می کنم دوربین های سینمایی مثل Rec رو هم بیارید..",2,0,0,0,0,0,0
,,"سلام ممنون از نظرات همه دوستان
لطفا توضیح دهید این دستگاه چه متراژی را در ضد عمق آب ساپورت میکند؟
با توجه به اینکه یکی از دوستان گفته ولی سایتهای خارجی هیچ توضیحی درباره ساپورت آن در چه عمقی را توضیح نداده اند.
با تشکر",1,0,0,0,0,0,0
,,"آقای اسم زاده
اولا من نگفتم hero 4 دارم که شما نظر دادید ... من hero3 plus دارم ....
بعد هم من هر دو تا تست کردم اینجور که شما احساسی شدید نیست....
در ضمن گوپرو هم هنگ داره ... هم داغ میکنه ... هم باطری زیر یکساعت جواب میده...هم LCD نداره .... که اگه بخوای همه این مشکلات رو کاور کنی نزدیک یک میلیون اضافه باید هزینه کنی یعنی 2l400 نه 1/200
در ضمن فیلم سینما 25 فریم هست حالا 60 فریم هم کاملا برای 99 درصد مردم کافی است ...فریم بالاتر به درد 1 درصد از مصرف کنندگان میخوره که اصلا ارزش حرف نداره
اون پردازنده سریعی که اسم بردید هم نیاز به update داره که خوب کار کنه و هم هنگ زیادی رو تولید میکنه..
در ضمن این دوربین گواهی استاندارد IP68 رو داره که گوپرو موفق به دریافتش نشد.پس نمیتونه کپی باشه که اگه باشه بهتر از نسخه قبلیه ....",9,1,5,5,5,5,5
,,"آقای عابدزاده این دوربین لنز ثابت داره که نمیشه باهاش خیلی مانور داد پس فقط برای نصب بر روی خودرو وجاهای دیگه طراحی شده
زوم کردن در مجالس خیلی مهمه و حتی در برخی موارد باید لنز قابلیت فوکوس دستی داشته باشه پس این دوربین برای کاربری عادی و مجالس مناسب نیست.",2,0,0,0,0,0,0
,,"باسلام
لطف کنید واطلاعات بیشتر ازاین محصول ارائه کنید.اطلاعات و مشخصات بسیارکم و ناقص ثبت گردیده.
باتشکر",0,0,0,0,0,0,0
,,"تجهیزات جانبی و انواع پایه ها و خصوصا مونوپادش رو از کجا تهیه کنیم؟ با وجود کیفیت و مشخصات بالا بدونن لوازم باید بریم سراغ گوپرو که!",0,0,0,0,0,0,0
,,"سلام میخواستم بدونم که میشه با این دوربین از مجالس عروسی فیلمبرداری کرد.....؟؟؟
ممنون میشم جواب بدین....",0,0,0,0,0,0,0
,,"آقای مسیبی این دوربین اصلا قابل مقایسه با گوپرو نیست پون گوپرو فیلم برداری 4k رو با سرعت 30 فریم انجام میده اما این دوربین با سرعت 15 فریم انجام میده
گوپرو فیلمبرداری فول اچ دی رو با سرعت 120 فریم انجام میده اما این دوربین با سرعت 60 فریم انجام میده
گوپرو پردازنده بسیار قدرتمندی داره و نورسنجی رو در کمتر از کسری از ثانیه انجام میده
پس نتیجه میگیریم این دوربین حتی به گرد پای گوپرو hero4 نمیرسه پس کمی هزینه بیشتری بکنید و کیفیت رو فدای قیمت نکنید
نکته مهم تر لنز واید گوپرو هست که وسعت بیشتری رو در بر میگیره
نکته بعدی اینه که این مدل رقیب گوپرو نیست بلکه کپی غیر اصولی گوپرو هست",5,2,0,0,0,0,0
,,"سلام من میخوام این رو بخرم میشه اطلاعات بیشتری در اختیار ما بگذارید مثل دوربین
GoPro HERO4 Silver مرسی",0,0,0,0,0,0,0
,,"خیلی کیفیت فول اچ دی خوبی میگیره ... باطری خوبی داره نسبت به رقیبش 2 برابر بهتره",1,0,5,5,5,5,5
,,"خیلی کیفیت فول اچ دی خوبی میگیره ... باطری خوبی داره نسبت به رقیبش 2 برابر بهتره",1,0,5,5,5,5,5
,,عالی,1,0,5,5,5,5,5
,,"من گرفتم خیلی باحاله من بر روی ماشین بستم برای پیست.. از کیفیتش راضیم چون قبلا گوپرو داشتم باطریش منو بیچاره کرد این مشکل رو این نداره",2,0,5,5,5,5,5
,,"با توجه به امکانات و لوازم همراهش قیمت مناسبی داره.کیفیت فیلمش هم عالیه.",1,0,5,5,5,5,5
,,"سلام محصوله بسیار عالی است من ازش در آفرود استفاده کردم نسبت ب محصولاته مشابه باطریه خیلی قویتری داره",2,0,0,0,0,0,0
,,"AEE رقیب اصلی گوپرو هستش که تحت پوشش المانه و بدلیل معروف نشدن که تازه اومده قیمتش از گوپرو کمتره ولی کیفیت تصویر و عکسبرداری و مدت زمان باتری از گوپرو سرتره... حتی یک lcd جداگانه هم داره که روی خودشه ... به نظر من اگه بخوایم با گوپرو مقایسه کنیم ... میگم این یک نسخه ی ALL IN ONE هستش و گوپرو مثل اپل فقط داره گرونیه مارکشو میگیره.
این متن چندتا لایک داره هاااا چندتاااا؟",13,1,5,5,5,5,5
,,"سلام خدمت دوستان میخوام یه سری اطلاعات کامل در باره این دوربین در اختیارتون بزام
این دوربین نسبت به گوپرو 100 متر ضد اب هست و اینکه 2 ساعت با ال سی دی شاژ بیشتر نسبت به گوپرو میده با وا فای حدود 1:30 دقیقه
داخل پک دوربین یه ال سی دی داره که تاچ هست ولی برای گوپرو باید ال سی دی بخرین
دارای گواهی ای پی 68 هست که این گواهی نسبت به مقاوم بودن دوربین در شرایط سخت داده میشه
تا فاصه 100 متر میتونین با وای فای دوربینتونو کنترل کنین
فکوس ندارد و اینکه حافظه تا هر چقدر که مورد نیاز هست میتونین استفاده کنین ولی من 16 گیگ توصیه میکنم چون با شارژی که دوربین بهتون میده با خرید حافظه زیاد هزینه اظافی پرداخت میکنین
امیدوارم خوب راهنمای کرده باشم .",12,0,0,0,0,0,0
,,"کسی میدونه آیا میشه این دوربین رو بوسیله پاوربانک هم شارژ کرد؟",0,0,0,0,0,0,0
,,"سلام
دمت گرم دی جی کالا
حدود یه ماهی میشه منتظرم که موجود کنین توسایت.فقط قبل سفارش میخواستم بدونم کسی با این دوربین کارکرده؟ایا ازgopro hero 4 black بهتره یا نه؟
ممنون میشم جواب بدین
با تشکر",1,0,0,0,0,0,0
,,"توضیح کاملتر بدید لتفن",0,0,0,0,0,0,0
,,"فکر کنم باید حدس بزنیم که فوکوس خودکار داره یا نه. لنزش چیه. تا چه عمقی ضد آبه، اقلام همراهش چیه، همزمان عکس برداری میکنه، تا چه رمی ساپورت میکنه، این زومش دیجیتاله یا آنالوگ.
بعدشم کی میاد سونی رو ول میکنه اینو میخره که تو یه رنج قیمتی هستن؟",1,0,0,0,0,0,0
,,"وقتی GOPRO هستش چرا اینو بگیریم...",1,1,0,0,0,0,0
,,"سلام
این محصول شامل تمام کیت های عکس 3 از 4 میباشد یا جداگامه باید تهیه شود؟
با تشکر",0,0,0,0,0,0,0
,,"آیا ضدآب هم هست؟",2,1,0,0,0,0,0
,,عالیه,1,1,0,0,0,0,0
,,"من خریدم خیلی عالیه . دارم باهاش فیلم سینمایی میسازم",2,1,0,0,0,0,0
,,"من گرفتم خیلی باحاله من بر روی ماشین بستم برای پیست.. از کیفیتش راضیم چون قبلا گوپرو داشتم باطریش منو بیچاره کرد این مشکل رو این نداره",2,0,5,5,5,5,5
,,"با توجه به امکانات و لوازم همراهش قیمت مناسبی داره.کیفیت فیلمش هم عالیه.",1,0,5,5,5,5,5
,,"سلام محصوله بسیار عالی است من ازش در آفرود استفاده کردم نسبت ب محصولاته مشابه باطریه خیلی قویتری داره",2,0,0,0,0,0,0
,,"AEE رقیب اصلی گوپرو هستش که تحت پوشش المانه و بدلیل معروف نشدن که تازه اومده قیمتش از گوپرو کمتره ولی کیفیت تصویر و عکسبرداری و مدت زمان باتری از گوپرو سرتره... حتی یک lcd جداگانه هم داره که روی خودشه ... به نظر من اگه بخوایم با گوپرو مقایسه کنیم ... میگم این یک نسخه ی ALL IN ONE هستش و گوپرو مثل اپل فقط داره گرونیه مارکشو میگیره.
این متن چندتا لایک داره هاااا چندتاااا؟",13,1,5,5,5,5,5
,,"سلام خدمت دوستان میخوام یه سری اطلاعات کامل در باره این دوربین در اختیارتون بزام
این دوربین نسبت به گوپرو 100 متر ضد اب هست و اینکه 2 ساعت با ال سی دی شاژ بیشتر نسبت به گوپرو میده با وا فای حدود 1:30 دقیقه
داخل پک دوربین یه ال سی دی داره که تاچ هست ولی برای گوپرو باید ال سی دی بخرین
دارای گواهی ای پی 68 هست که این گواهی نسبت به مقاوم بودن دوربین در شرایط سخت داده میشه
تا فاصه 100 متر میتونین با وای فای دوربینتونو کنترل کنین
فکوس ندارد و اینکه حافظه تا هر چقدر که مورد نیاز هست میتونین استفاده کنین ولی من 16 گیگ توصیه میکنم چون با شارژی که دوربین بهتون میده با خرید حافظه زیاد هزینه اظافی پرداخت میکنین
امیدوارم خوب راهنمای کرده باشم .",12,0,0,0,0,0,0
,,"کسی میدونه آیا میشه این دوربین رو بوسیله پاوربانک هم شارژ کرد؟",0,0,0,0,0,0,0
,,"سلام
دمت گرم دی جی کالا
حدود یه ماهی میشه منتظرم که موجود کنین توسایت.فقط قبل سفارش میخواستم بدونم کسی با این دوربین کارکرده؟ایا ازgopro hero 4 black بهتره یا نه؟
ممنون میشم جواب بدین
با تشکر",1,0,0,0,0,0,0
,,"توضیح کاملتر بدید لتفن",0,0,0,0,0,0,0
,,"فکر کنم باید حدس بزنیم که فوکوس خودکار داره یا نه. لنزش چیه. تا چه عمقی ضد آبه، اقلام همراهش چیه، همزمان عکس برداری میکنه، تا چه رمی ساپورت میکنه، این زومش دیجیتاله یا آنالوگ.
بعدشم کی میاد سونی رو ول میکنه اینو میخره که تو یه رنج قیمتی هستن؟",1,0,0,0,0,0,0
,,"وقتی GOPRO هستش چرا اینو بگیریم...",1,1,0,0,0,0,0
