id,title,price,userRate,recommendationCount,description,"سهولت در استفاده","عملکرد و کارآیی","کیفیت ساخت","طراحی و زیبایی","ارزش خرید به نسبت قیمت"
228615,"45,000","D-Link NTP-001 Punch Down Tool
آچار پانچ دي-لينک مدل NTP-001",,0,,,,,,,"ابزار شبکه","اتصالات شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
228608,"65,000","D-Link NTC-001 Crimping Tool
آچار پرس دي-لينک مدل NTC-001",,0,,,,,,,"ابزار شبکه","اتصالات شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
218397,"349,900","مودم 4G قابل حمل ايرانسل مدل CA60
Irancell CA60 4G Portable Modem",۳.۵,0,,3.7,3.4,3.3,3.6,3.2,"مودم همراه 3G و 4G","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
216973,"240,000","سنسور آب دي-لينک مدل DCH-S160
D-Link DCH-S160 Water Sensor",۵,0,,,,,,,"اينترنت اشيا","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
216900,"218,000","سنسور درب و پنجره دي-لينک مدل DCH-Z120
D-Link DCH-Z110 Door and Window Sensor",۳,0,,3,3,3,3,3,"اينترنت اشيا","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
216897,"240,000","سنسور حرکت دي-لينک مدل DCH-Z120
D-Link DCH-Z120 Motion Sensor",,0,,,,,,,"اينترنت اشيا","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
214618,"230,000","هشدار دهنده صوتي دي-لينک مدل Siren DCH-S220
D-Link Siren DCH-S220 Sound Alarm",۵,0,,,,,,,"اينترنت اشيا","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
214587,"865,000","کيت خانه هوشمند دي-لينک مدل DCH-100KT
D-Link DCH-100KT Smart Home Kit",۳.۶,0,,2.7,3.7,3.7,3.7,3.7,"اينترنت اشيا","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
214385,"415,000","اکسس پوينت دي-لينک مدل DCH-G020
D-Link DCH-G020 Access Point",۵,0,,,,,,,"روتر و اکسس پوينت","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
211535,"139,000","کنترل کننده هوشمند چندمنظوره شياومي مدل DGNWG02LM
Xiaomi DGNWG02LM Smart Multifunction Gateway",,0,,,,,,"قطعات جانبي موبايل","لوازم جانبي گوشي موبايل","لوازم جانبي کالاي ديجيتال",موبايل,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
208840,"339,000","Alcatel Link Zone Wireless 4G Modem Router
مودم روتر بی سیم 4G آلکاتل مدل Link Zone",۳.۹,0,,3.9,3.8,3.9,3.7,3.8,"مودم همراه 3G و 4G","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
208464,"155,000","مودم روتر بي سيم N300 ايسوس سري ADSL2 مدل DSL-N14U-b1
Asus DSL-N14U-b1 Wireless N300 ADSL2 Modem Router",۴.۵,0,,4.4,4.6,4.6,4.6,4.4,"مودم - روتر ADSL","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
207308,"689,000","دوربین تحت شبکه ریولینک مدل RLC-422
Reolink RLC-422 Network Camera",۵,0,,,,,,,"دوربين هاي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
207171,"2,053,300","ضبط کننده ویدیویی تحت شبکه ریولینک مدل RLK4-210WB2
Reolink RLK4-210WB2 Network Video Recorder",,0,,,,,,,"ضبط کننده ويديويي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
207159,"2,597,000","ضبط کننده ویدیویی تحت شبکه ریولینک مدل RLN16-410
Reolink RLN16-410 Network Video Recorder",۵,0,,,,,,,"ضبط کننده ويديويي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
207117,"1,837,000","ضبط کننده ویدیویی تحت شبکه ریولینک مدل RLN8-410
Reolink RLN8-410 Network Video Recorder",۵,0,,,,,,,"ضبط کننده ويديويي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
207090,"1,529,000","دوربین تحت شبکه ریولینک مدل RLC-423
Reolink RLC-423 Network Camera",۵,0,,,,,,,"دوربين هاي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
206999,"473,000","دوربین تحت شبکه ریولینک مدل RLC-420
Reolink RLC-420 Network Camera",۵,0,,,,,4.5,,"دوربين هاي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
206983,"847,000","دوربین تحت شبکه ریولینک مدل RLC-411WS
Reolink RLC-411WS Network Camera",,0,,,,,,,"دوربين هاي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
206958,"683,000","دوربین تحت شبکه ریولینک مدل RLC-411
Reolink RLC-411 Network Camera",۵,0,,,,,,,"دوربين هاي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
206926,"649,000","دوربین تحت شبکه ریولینک مدل RLC-410WS
Reolink RLC-410WS Network Camera",۵,0,,,,,,,"دوربين هاي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
206860,"689,000","دوربین تحت شبکه فوسکم مدل R2
Foscam R2 Network Camera",۴.۸,0,,,4.8,4.8,4.8,4.8,"دوربين هاي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
206859,"589,000","دوربين تحت شبکه فوسکم مدل Fosbaby P1
Foscam Fosbaby P1 Network Camera",۵,0,,,,,,,"دوربين هاي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
206858,"463,000","دوربین تحت شبکه ریولینک مدل RLC-410
Reolink RLC-410 Network Camera",۵,0,,4.7,,,,,"دوربين هاي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
206857,"649,000","ضبط کننده ویدئویی تحت شبکه فوسکم مدل FN3109H
Foscam FN3109H Network Video Recorder",۵,0,,,,,,,"ضبط کننده ويديويي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
206853,"1,979,000","سیستم امنیتی فوسکم مدل FN3108XE-B4-1T
Foscam FN3108XE-B4-1T Network Video Recorder",۵,0,,,,,,,"ضبط کننده ويديويي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
206847,"459,000","ضبط کننده ویدیویی تحت شبکه فوسکم مدل FN3104H
Foscam FN3104H Digital Network Video Recorder",۵,0,,,,,,,"ضبط کننده ويديويي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
206846,"637,000","دوربین تحت شبکه ریولینک مدل C2
Reolink C2 Network Camera",۴.۹,0,,,,,,4.5,"دوربين هاي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
206831,"519,000","دوربین تحت شبکه ریولینک مدل C1
Reolink C1 Network Camera",۵,0,,,,,4.5,,"دوربين هاي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
206329,"80,000","Totolink EX200 Wireless N300 Range Extender
گسترش دهنده شبکه بي‌سيم N300 توتولينک مدل EX200",۵,0,,,,,"توسعه دهنده محدوده بي‌سيم","اتصالات شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
206321,"68,000","Totolink N300RT 300Mbps Wireless N Router
روتر بي‌سيم N300 توتولينک مدل N300RT",۵,0,,,,,,,"روتر و اکسس پوينت","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
206315,"123,000","Totolink SW16 16-Port Unmanaged Switch
سوييچ 16 پورت غيرمديريتي توتولينک مدل SW16",,0,,,,,,,سوييچ,"تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
206314,"145,000","Totolink SW24 24-Port Unmanaged Switch
سوييچ 24 پورت غيرمديريتي توتولينک مدل SW24",,0,,,,,,,سوييچ,"تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
206101,"415,000","D-Link DCS-935L Network Camera
دوربين تحت شبکه دي-لينک مدل DCS-935L",۵,0,,,,,,,"دوربين هاي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
204411,"465,000","TP-LINK Archer D5 AC1200 Wireless Dual Band Modem Router
مودم-روتر بي‌سيم و دوباند AC1200 تي پي-لينک مدل Archer D5 V2",۲.۹,0,,3.4,2.8,2.8,2.9,2.4,"مودم - روتر ADSL","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
203045,"399,000","Huawei B315s-22 LTE CPE Wireless 4G Modem Router
مودم روتر بي سيم 4G هوآوي مدل B315s-22 LTE CPE",۳.۷,0,,3.8,3.8,3.7,3.6,3.6,"مودم همراه 3G و 4G","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
200466,"95,000","TP-Link TL-WR845N Wireless 300Mbps Router
روتر بي سيم 300Mbps تي پي-لينک مدل TL-WR845N",۵,0,,,,,,,"روتر و اکسس پوينت","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
200270,"410,000","TP-Link M7310 4G Portable Modem
مودم 4G قابل حمل تي پي-لينک مدل M7310",۴,0,,4,4,3.9,4.1,3.6,"مودم همراه 3G و 4G","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
200270,"410,000","TP-Link M7310 4G Portable Modem
مودم 4G قابل حمل تي پي-لينک مدل M7310",۴,0,,4,4,3.9,4.1,3.6,"مودم همراه 3G و 4G","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
198945,"995,000","Seagate Personal Cloud 2-bay STCS4000201 NAS - 4TB
ذخيره ساز تحت شبکه سيگيت مدل Personal Cloud 2-bay STCS4000201 ظرفيت 4 ترابايت",,0,,,,,,,"ذخيره ساز تحت شبکه (NAS)","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
198943,"845,000","Seagate Personal Cloud STCR5000200 NAS - 5TB
ذخيره ساز تحت شبکه سيگيت مدل Personal Cloud STCR5000200 ظرفيت 5 ترابايت",,0,,,,,,,"ذخيره ساز تحت شبکه (NAS)","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
198942,"680,000","Seagate Personal Cloud STCR4000200 NAS - 4TB
ذخيره ساز تحت شبکه سيگيت مدل Personal Cloud STCR4000200 ظرفيت 4 ترابايت",,0,,,,,,,"ذخيره ساز تحت شبکه (NAS)","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
198941,"535,000","Seagate Personal Cloud STCR3000200 NAS - 3TB
ذخيره ساز تحت شبکه سيگيت مدل Personal Cloud STCR3000200 ظرفيت 3 ترابايت",,0,,,,,,,"ذخيره ساز تحت شبکه (NAS)","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
198168,"805,000","Qnap TS-228 NAS - Diskless
ذخيره ساز تحت شبکه کيونپ مدل TS-228",,0,,,,,,,"ذخيره ساز تحت شبکه (NAS)","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
197492,"111,000","D-Link DGS-108 8-Port Gigabit Desktop Switch
سوييچ 8 پورت گيگابيت و دسکتاپ دي-لينک مدل DGS-108",۵,0,,,,,,,سوييچ,"تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
197490,"85,500","D-Link DGS-105 5-Port Gigabit Desktop Switch
سوييچ 5 پورت گيگابيت و دسکتاپ دي-لينک مدل DGS-105",,0,,,,,,,سوييچ,"تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
196967,"215,000","D-Link DWR-910 4G LTE Wireless Modem
مودم بي سيم 4G LTE دي-لينک مدل DWR-910",۳.۸,0,,4,3.9,3.7,3.5,3.6,"مودم همراه 3G و 4G","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
196092,"575,000","Xiaomi Wireless AC1200 Router2 Router and Hard Disk - 1TB
روتر بي‌سيم AC1200 و هاردديسک شياومي مدل Router2 با ظرفيت 1 ترابايت",۳,0,,3,3,3.4,2.8,2.8,"روتر و اکسس پوينت","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
194587,"359,000","Foscam FI9853EP Network Camera
دوربین تحت شبکه فوسکم مدل FI9853EP",۴.۶,0,,4.6,4.6,4.6,4.6,4.6,"دوربين هاي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
194293,"339,000","Foscam FI9851P Network Camera
دوربین تحت شبکه فوسکم مدل FI9851P",۴.۴,0,,4.8,4.5,4.5,4.5,4,"دوربين هاي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
194279,"949,000","Foscam FI9828P Network Camera
دوربین تحت شبکه فوسکم مدل FI9828P",۴.۵,0,,4.5,4.4,4.6,4.4,4.5,"دوربين هاي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
194268,"689,000","Foscam FI9826P Network Camera
دوربین تحت شبکه فوسکم مدل FI9826P",۴.۱,0,,4.2,4,4.2,4,4,"دوربين هاي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
194240,"324,000","Foscam FI9816P Network Camera
دوربین تحت شبکه فوسکم مدل FI9816P",۴.۷,0,,4.4,4.7,4.4,4.4,,"دوربين هاي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
194122,"309,000","Foscam C1 Network Camera
دوربین تحت شبکه فوسکم مدل C1",۴.۴,0,,4.4,4.4,4.4,4.4,4.3,"دوربين هاي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
191932,"188,000","TP-LINK TL-WR841HP Wireless N300 Router
روتر بي‌سيم N300 تي پي لينک مدل TL-WR841HP",۵,0,,,,,,,"روتر و اکسس پوينت","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
188751,"719,000","TP-Link TL-SG2424 24-Port Gigabit Switch
سوييچ گيگابيتي 24 پورت تي پي-لينک مدل TL-SG2424",,0,,,,,,,سوييچ,"تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
183832,"55,000","Tenda MG100M Multi Mode SFP Module
ماژول فيبر تندا مدل MG100M Multi Mode",,0,,,,,,"مبدل فيبر","اتصالات شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
183829,"60,000","Tenda MG100S Single Mode SFP Module
ماژول فيبر تندا مدل MG100S Single Mode",,0,,,,,,"مبدل فيبر","اتصالات شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
183756,"75,000","Tenda N301 Wireless N300 Router
روتر بي‌سيم N300 تندا مدل N301",,0,,,,,,,"روتر و اکسس پوينت","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
183752,"262,500","Tenda N6 600Mbps Wireless Router
روتر بي‌سيم 600Mbps تندا مدل N6",,0,,,,,,,"روتر و اکسس پوينت","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
183740,"99,500","Tenda F3 300Mbps Wireless Router
روتر بي‌سيم 300Mbps تندا مدل F3",۳.۹,0,,4,3,4,,3,"روتر و اکسس پوينت","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
183731,"539,000","Tenda AC15 Dual-Band Wireless AC1900 Router
روتر دوبانده بي‌سيم AC1900 تندا مدل AC15",,0,,,,,,,"روتر و اکسس پوينت","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
183159,"336,000","D-Link DES-1026G 24 Port Switch with 2 Combo Port
سوييچ 24 پورت به همراه 2 پورت Combo دي-لينک مدل DES-1026G",,0,,,,,,,سوييچ,"تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
182153,"410,000","Linksys RE6500-EJ Wireless Range Extender
توسعه دهنده محدوده بي‌سيم لينک سيس مدل RE6500-EJ",۵,0,,,,,"توسعه دهنده محدوده بي‌سيم","اتصالات شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
181713,"185,000","Linksys WUSB6100M-EU Network Adapter
کارت شبکه لينک سيس مدل WUSB6100M-EU",,0,,,,,,,"کارت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
181586,"445,000","Linksys RE6700-EG N300 Wireless Range Extender
توسعه دهنده محدوده بي‌سيم لينک سيس مدل RE6700-EG",,0,,,,,"توسعه دهنده محدوده بي‌سيم","اتصالات شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
181585,"179,000","Linksys RE3000W-EK N300 Wireless Range Extender
توسعه دهنده محدوده بي‌سيم لينک سيس مدل RE3000W-EK",۵,0,,,,,"توسعه دهنده محدوده بي‌سيم","اتصالات شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
181582,"253,000","Linksys RE6300-EU Wireless Range Extender
توسعه دهنده محدوده بي‌سيم لينک سيس مدل RE6300-EU",,0,,,,,"توسعه دهنده محدوده بي‌سيم","اتصالات شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
179048,"24,500","Tenda S105 5-Port New Design Switch
سوييچ شبکه 5 پورت تندا مدل S105",,0,,,,,,,سوييچ,"تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
177739,"685,000","D-Link DIR-879 AC1900 Router
روتر AC1900 دي-لينک مدل DIR-879",,0,,,,,,,"روتر و اکسس پوينت","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
175314,"539,000","D-Link DCS-5030L Network Camera
دوربين تحت شبکه دي-لينک مدل DCS-5030L",۱.۸,0,,2.3,1.3,2,1.3,2,"دوربين هاي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
172470,"709,000","دوربين تحت شبکه دي-لينک مدل DCS-8200LH
D-Link DCS-8200LH Network Camera",۳,0,,3,3,3,3,3,"دوربين هاي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
172440,"188,000","سنسور حرکتي Wi-Fi دي-لينک مدل DCH-S150
D-Link DCH-S150 Wi-Fi Motion Sensor",۵,0,,,,,,,آداپتور,"تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
172435,"219,000","پريز هوشمند Wi-Fi دي-لينک مدل DSP-W215
D-Link DSP-W215 Wi-Fi Smart Plug",۵,0,,2.8,2.9,3.1,3,2.8,آداپتور,"تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
