positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","کارآيي و عملکرد","امکانات و قابليت‌ها","کيفيت ساخت","طراحي و ظاهر"
"ظاهر خوب
عملکرد و سرعت خوب
اينترفيس خوب
پنل تنظيمات خوب","پشتيباني و پاسخگويي ضعيف و نامناسب توسط شرکت متم اف
عدم ارائه راهنماي فارسي
عدم اطلاع و راهنمايي از بخش تنظيمات Mac و ... در دفترچه راهنماي اصلي","من از خرید این محصول راضیم
اما برخورد و خدمات پس ازفروش (شرکت متم اف) ارائه دهنده خدمات خیلی ضعیف هست.
دیجی کالا لطفا با گارانتی یک شرکت دیگه با خدمات پس ازفروش مطمئن ارائه دهید.",1,2,2,4,4,4,4
"داره.انتن دهي","کيفيت دوطرف اسفنجي پايينه چرک ميشه","دوطرف مودم حالت اسفنجی کدر میشه",4,1,3,5,5,1,5
,,"بنظرم واقعا محصول خوبیه همه جوره انتظارات رو از یک مودم براورده میکنه. کوچیک و کاربردثه با نرم افزارشم به راحتی میشه با گوشی هدایتش کرد فقط تنها نقطه ضعفش عدم استفاده از کدهای USSD هست که اونم میشه یه جور دیگه حلش کرد. در کل پیشنهاد میشه تو خریدش شک نکنین.",1,1,5,5,5,5,5
"طراحي زيبا
کوچک و سبک
کارآمد",,"این مودم را درفروش شگفت انگیز خریدم و بسیار راضی هستم",2,1,3,4,4,4,4
شارژ,,"سرعت دانلودم 3 مگه ، به نظر من خوبه",1,1,5,5,5,5,5
"سرعت بالا دانلود سبک خوش دستي","شارژدهي مي تونست بهتر باشه ولي در کل من ازش راضيم","با عرض سلام به دوستان عزیز سرعت داتلودش خیلی خیلی خوب انتن دهیش هم خوبه درکل اگه به خام به گم از خردیدش پشیمون نیستم",2,4,4,4,5,5,5
,"داغ کردن فوري","دستگاه در عرض کمتراز ده دقیقه فوری داغ میکنه و نمیدونم علتش چیه",2,6,5,5,5,5,5
"من سفارش دادم ايشاااله خوب باشه",,"پیشنهاد میکنم",4,2,3,3,3,3,3
"خوش دست و زيبا
بدون قطعي
اتصال با کابل","نسبت به مدل 7340 شارز کمتري نگه ميدارد","سلام مودم خوبیه و من خوشبختانه تو پیشنهاد شگفت انگیز خریدم",5,1,4,5,5,4,5
"کوچک و خوش دست - زيبايي - بدون قطعي - اتصال با کابل","نسبت به مدل 7340 شارز کمتري نگه ميدارد","سلام دوستان
مودم خوبیه و من خوشبختانه تو پیشنهاد شگفت انگیز خریدم",3,1,4,5,5,4,5
"زيباي
قدرت بالا
سرعت بالا
وزن کم",ندارد,"مودم بسیار خوبی هست اصلا حرفی نداره از تمام نظر ها فوق العادست و حتما پبشنهاد میکنمش من از 2 تا 11 صبح 60 گیگ دانلود کردم و سرعتش خیلی خوب بود.",9,1,3,3,3,3,3
"برد عالي
سبک
شارژ دهي خوب حدود 10 ساعت",,"کارایی و برد عالی داره. در کل حرف نداره",6,1,3,5,4,3,5
"کوچک و حمل آسان
سرعت عالي بدون قطعي
ساپورت کليه اپراتورهاي همراه داخل ايران
شارژ دهي مناسب
FDD-LTE و TDD-LTE",ندارد,"مهمترین نکته: ساپورت باندهایFDD وTDD و دارا بودن دو فرکانس 2.4GHz - 5GHz تنظیم اسان و راحت از طریق اپلیکیشنtpMiFi و وارد شدن به صفحه تنظیمات از طریق مرورگر اشتراک اطلاعات SD Card از طریق Wi-Fi و کابلUSB
دوستانی که از ویندوز xp استفاده میکنن حتما درایور مودم را از سایت اصلی دانلود کنن. بقیه ویندوز ها به صورت خودکار مودم شناسایی میکنه (برای اتصال مودم به کامپیوتر از طریق کابل USB)",7,1,5,5,5,5,5
,,"یشه گفت نسبت به قیمت راضی کننده هست سرعت فوق العاده بالایی داره و برد ایده آل",8,0,3,3,3,3,3
,"عدم پشتيباني ddns
عدم داشتن ussd","این سری مودم ها دیگه باید منسوخ بشن و از cat 6 به بالا وارد بازار بشه چون همه اپراتور ها دیگه دارن این سری از LTE رو پوشش میدن. البته توی ایران اینطوری هستش چون روی همین cat4 هم میتونن تا 150 مگگابیت سرعت سرویس بدن اما نمیدن و هی تجهیزات اضافه میکنن و هیچ درکی از این قضیه ندارم من.
بهرحال ما توی ایران برای دستیابی به دیتای همراه با سرعت بالاتر مجبور به آپگرید کردن تجهیزاتمون هستیم و باید دنبال مودم ها cat6 به بالا بگردیم",23,3,1,1,1,3,3
"سيگنال دهي خيلي خوب- ميزان نگهداري شارژ قابل قبول","مورد خاصي به ذهنم نميرسه","دو روزه دارم باهاش کار میکنم. دیروز صبح واسم تو دو ساعت و نیم، حدود 45 گیگ دانلود کرد. قطعی نداره از میزان شارژ نگه داشتنش راضیم . فکر کنم راحت هشت الی ده ساعت طول میکشه تاز از صد به صفر برسه باطریش جدا میشه ولی با برق مستقیم صفحه نمایشش فقط روشن میشه. البته یه جا تو همین دیجی کالا یه ترفندی برای استفاده بدون باتری خوندم. هنوز فرصت نشده تستش کنم. موقع دانلود با IDM ریت دانلودم معمولا حدود 4.5 الی 5.5 مگابایت ( و نه بیت) بر ثانیه هستش و تا هفت مگابایت هم میره در مواقع خلوتی شبکه. از نظر فیزیکی هم تازه تو یک اتاق گذاشته بودمش موقع دانلود 45 گیگی که هیچ پنجره ای نداره، با نزدیکترین پنجره حدود 10 متر فاصله داره و تازه درب اتاق هم نیم باز بود دیگه جونم براتون بگه از انظر اندازه، تو کف دستش جا میشه. در حین حرکت دچار قطعی و اختلال نمیشه. ( لااقل من متوجه نشدم ) دو باند داره که خیلی خوبه میشه پروفایل های مختلف برای اپراتورهای مختلف براش تعریف کرد هم از FDD ساپورت میکنه هم از TDD که البته چون خونه ما در پوشش دومی نیست، دومی رو هنوز تست نکردم قابلیت power saving داره خلاصه اون چیزی که از یک مودم Cat-4 توقع میره رو به بهترین شکل برآورده میکنه",37,8,4,5,4,4,5
,,"کالای خیلی خوبیه و خیلی کاربردی مخصوصاً برای اینترنت بازا ، قیمتشم که خوبه",6,7,5,5,5,5,5
"اندازه
زيبايي
برند تي پي لينک",,"اول که عکس رو دیدم فکر کردم اینجا تحریف شده، اما بعد که به دستم رسید دیدم واقعا"" کوچیک و خوش سایزه.",16,5,5,5,5,5,5
