positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","کارآيي و عملکرد","امکانات و قابليت‌ها","کيفيت ساخت","طراحي و ظاهر"
,"هارد گرينادابتور متفرقه","بهتر هست برای تجهیزات مدار بسته از هاردهای سری بنفش وسترن استفاده کنید
آدابتور ارائه شده مخصوص led روشنایی هستند و برای دوربین مدار بسته مناسب نیست
در استفاده طولانی مدت به مشکل می خورید
همیشه قبل از خرید با یک شخص با تجربه مشورت کنید تا متحمل خسارت نشوید",13,6,1,2,3,1,4
,,"من پکیج چهار دوربین همین برند رو از دیجی کالا خریدم دب وی ار کیفیتش معمولیه و خروجی HDMI اون کار نکرد نمی دونم چرا . دوربین های سقفی خوبه ولی دوربین های استوانه ای به دلیل نداشتن پیچ سفت کننده درست تنظیم نمیشن و همچنین منوی تنظیم تخصصی ندارن من پیشنهاد نمی کنم",5,0,3,3,3,3,3
,,"من این پکیج رو یک ماه پیش از دیجی کالا گرفتم و این محصول واسه پسر خالمه و گفت بیا بنویس خیلی خوبه🤔",4,4,5,5,5,5,5
"کيفيت خوب قيمت خوب",ندارد,"با سلام کیفیت دوربین ها خوب و راضی کننده هستند. دید در شب دوربینا هم خوب هستش. تمام وسایل مورود نیاز در پکیج هست و نصبش خیلی راحته. جنس دوربین ها از فلز هست و خوش ساخت هست. در کل من راضی بودم و به دوستان پیشنهاد میکنم چون خیلی به صرفه هست از نظر قیمت",7,16,5,5,5,4,5
"فلزي و ضد آب بودن دوربين ها
انتقال تصوير راحت بر روي کامپيوتر و موبايل
کيفيت مناسب با توجه به قيمت",,"AHD تکنولوژی به روز بازار می باشد
من خودم نصابم از این پکیج چند تا تاحالا گرفتم
با توجه به قیمتی که داره کیفیتش خیلی خوبه",8,15,5,5,4,4,4
"پشتيباني خوب شرکت گارانتي کننده
کيفيت خوب نسبت به مشابه بازار","نداشتن قيمت بصورت جداگانه روي اقلام داخل جعبه","این پکیج نسبت به قیمتش میارزه کیفیتش راضی کنندس من برای سوپر مارکت گذاشتم ولی من هشتا دوربین میخواستم از دیجی خواهش میکنم پکیج هشت دوربینشم شگفت کنه من خودم نصبش کردم فقط دادم یه برقکار برام کابل کشی کرد از حق نگذریم کلا هم قیمتش خوبه وهم کیفیتش و از همه مهمتر اینه که همه چی تو جعبش هست دیگه داستان نداره",7,15,5,5,5,5,5
"پشتيباني بدون قيدو شرط",ندارد,"اعضای مجتمع ساختمونی ما از این پکیج خریدن و نصب کردن (با کمک و پیگیری پشتیبانی شرکت گارانتی کننده) ولی بعداز دو ماه یکی از دوربینها مشکل پیدا کرد که با اولین تماس بلافاصله و بدون هیچ قید و شرطی دوربین مورد نظر با پیگیریهای خودشون تعویض شد و این برای من خیلی جالب بود که شرکت گارانتی کننده اونم در مورد لوازم الکترونیکی که هزار تا شرط و شرئط میزارن تا شاید آخرسر با کلی داستان عوض بکنن یا نکنن ،بدون قید و شرط دوربین استوانه ای رو عوض کرد و نکته جالب اینکه در شگف انگیز که قیمتش فوق العاده اومده بود پایین مجتمع های هم جوار ما نیز این کالارو خریدن و بسیار بسیار از روند نصب و راه اندازی پکیجشون راضی هستن .",6,11,5,5,5,5,5
"همه چي",هيچي,"عالیه حتما بخرید",4,13,5,5,5,5,5
"کيفيت بالا و قيمت مناسب و پشتيباني عالي","به نظر من ندارد","سلام. من خودم نصاب دوربین های مدار بسته هستم و همه ی پیام ها رو خوندم و هر کدومتون نظرتون محترم هست. تا حالا بالای 10 تا از این پکیج رو خریداری کردم و برای مشتری هام نصب کردم و تا حالا به مشکلی بر نخوردم و کیفیت خوبی نصبت به قیمتش داره و مهم ترین ویژگی خوبی که این محصول داره پشتیبانی و گارانتی محصولش هست. البته که دوربین های TVI هایک ویژن و CVI داهوا و دوربین های ایپی کیفیت بهتر و عمر بالا تری دارند و همچنین قیمت بالاتر. اگر میخاید بیشتر هرینه کنید و دورببین هاتونو از جای مطمعن و با گارانتی و خدمات بخرید با همین شرکت کمیران تماس بگیرید چون همه مدل دوربین رو موجود دارن با قیمت مناسب.",7,13,5,5,5,5,5
,"فوق العاده بي کيفيت
اين تکنولوژي عمر کوتاهي داره پس هيچ وقت اشتباه نکنيد","دوربین فقط آی پی بخرید
اگرم خواستید مناسبتر در بیاد TVI بخرید عمرش خیلی بیشتره
اما AHD عمرش کوتاه تست بعد از 3 ماه کیفیت ازدست میده",7,18,3,3,3,3,3
"انتقال تصوير ش بر روي موبايل خوبه.","کيفيت پايين دوربين ها قيمت نسبتا بالا","بنده نصاب دوربین مداربسته هستم و آشنایی کامل به دوربین های مداربسته دارم. دستگاه دی وی آر معمولی هستش و نه میشه گفت دستگاه خیلی بدی هست و نه میشه میگفت عالیه. هارد یک ترا برای شش عدد دوربین حداکثر نه روز در حالت ریل ضبط میکنه که به نظر من خیلی کم هست. دوربین هایی هم که گذاشتن اولش خوبه ولی متاسفانه افت کیفیت شدید دارن و بعد از دوسال تقریبا هیچ چیزی در تصویر قابل تشخیص نیست. با شناختی که از دیجی کالا داشتم بعید میدونستم دوربین با این کیفیت و با این قیمت فوق العاده بالا بعنوان پیشنهاد ویژه بزاره. موفق باشید.",20,6,0,2,2,2,3
ندارد,"کيفيت پايين دوربين ها
کمبود فضاي هارد ديسک براي 6 دوربين وذخيره سازي در حالت HD","negron برند شناخته شده ای نیست . کیفیت دوربین ها با وجود دوربین 2 مگا پیکسلی با برد 322 sony با همین قیمت رضایت بخش نیست. هارد دیسک 1 ترا برای سیستم AHD با 6 عدد دوربین فضای کمی دارد ( با توجه به ذخیره سازی( HD )",9,8,0,3,3,0,3
,,"اگه میخاید واسه دوربین ahd هزینه کنید دوربین و دستگاه 1080p تهیه کنید کیفیت خیلی بالاتری نسبت به این داره از نظر قیمت هم توی بازار اختلافی نداره",9,5,0,0,0,0,1
,,"من این پکیج رو برای ساختمونمون خریداری کردم
از لحاظ قیمتی واقعا به صرفست
همه متعلقاتشم کامل داخل پکیج بود و نصبش راحت انجام شد.",6,6,5,5,5,5,5
"پشتيباني نسبتا خوب ولي بدون کيفيت دوربين ها بي فايده است","کيفيت پايين دوربين ها
قيمت بالا حتي در پيشنهاد ويژه","کیفیت دوربین ها فوق العاده پایین است و فقط چهره آشنا قابل تشخیص است ، آن هم در شرایط ایده آل
مدل های مشابه رو حتی میتونستم با نصف این مبلغ خریداری کنم ، با وجود اینکه در پیشنهاد ویزه خریداری کردم .
پشتیبانی تلفنی نسبتا خوبی دارند ، پاسخگو هستند ولی خب",37,6,0,0,1,0,1
,,"من این پکیجو تو شگفت انگیز خریدم...به نسبت قیمت هایی که بیرون توسط نصاب به من داده شد خیلی مقرون به صرف بود و با همان کیفیت...کسایی که از کیفیت شکایت میکنن لطفا یه نگاه به مبلغ پرداختیم بکنن...بله قطعا ای پی کمرا ها کیفیت بالا تری دارن و قیمت تمام شده ام خیلی بیشتره...",19,18,5,4,4,3,4
,,"ای اچ دی در واقع یک تکنولوژی از رده خارج و ناکارآمد محسوب می شود ، چرا که تصویر اچ دی به تصویری گفته می‌شود که دارای پیکسل(هر واحد کوچک که رنگ پذیر باشد) باشد ، اما در دکد ای اچ دی تصاویر با کیفیت بسیار پایین و به صورت شبه پیکسل بازنشانی می‌شود، به همین سبب پس از ای اچ دی تکنولوژی( اچ دی سی وی آی) توسط شرکت داهوا چین ابداع شد که تصاویر را کاملا مشابه دوربینهای آی پی دکد کرده و تصویری با وضوح بسیار بالا بدون محدودیت کابل کشی500 تا 800 متر در اختیار مصرف کنندگان گذاشته. برای تایید عرایض بنده میتونید به ویکی سر بزنید ممنون از دیجی کالا به خاطر صداقت با مشتریاش..",20,8,0,0,0,0,0
"کيفيت خوب دوربين ها.يه پکيج کامل که همه چيز رو داره","هارد کم ظرفيت","من واسه فروشگاه نصب کردم واسه 180متر خوب جواب میده البته من تو پیشنهاد ویژه خریدم",13,21,3,3,3,3,3
,,"پکیجی هست که فقط قیمتش خوبه ولی کیفیتش اصلا خوب نیست برندش اصلا معروف نیست به همین خاطر قیمتش خوب بنظر میاد",24,12,1,2,3,0,2
"بي دردسر بودن کالا و راحتي استفاده",,"از این پکیج یکی از همسایه های مجتمع ما خرید و با توجه به استعلامهایی که برای این کار همسایه ها گرفته بودن با اختلاف از همه قیمتش بهتر بودو نکته مهمتراز قیمت که نگرانی همه بوددر مورد نصبش بود که با پشتیبانی شرکت گارانتی کننده و پیگیریهای مناسب اونها به نحو احسنت این پروژه انجام شد و کاملا حضور این کالا مارو از درگیر شدن با افراد این صنف و عدد و رقمهایی که بعضا به دلیل عدم آگاهی مصرف کننده اضافه تر میگیرن راحت کرد
با تشکر از دیجی کالا",23,17,5,5,5,5,5
"داشتن گارانتي2ساله قيمت مناسب",ندارد,"من خودم نصاب هستم این قیمتی که داده قیمت خوبیه این قیمت تقریبا اندازه قیمت خرید منه دو سال هم گارانتی داره.سیستم ahd سیستمی هست که از سیم کشی دوربین آنالوگ براب آن استفاده میشه.نمیگم که کیفیتش فوق العادست.تو رتبه بندی از آخر میشه سیستم آنالوگ،بعد میشه همین AHD,بعد میشه سیستمHDCVIوHDTVI,بعد میشه IP
اگر نظر من رو میخواید برای استفاده بد نیست اگر میتونید یکم بیشتر هزینه کنید سیستم HDCVI رو پیشنهاد میکنم.",49,13,3,3,3,3,3
"فقط قيمت خوب اونم در پيشنهاد ويژه","کيفيت بد دوربين","در کل خوب نیس",23,17,3,3,3,3,3
"قيمتش خيلي خوب شده
انتقال تصوير روي موبايلش راضي کنندس
همه چي داره فقط بايد بگي يه نصاب بياد براتون نصبش کنه",,"بنظر من قیمتش خیلی خوب شده و همه چیز توی خود پکیجش هست و فقط کافیه یه نصاب بگید بیاد براتون نصب کنه و حالشو ببرید یک ماه هم تصویر ها رو ذخیره میکنه برای مغازه و فروشگاه ها مناسبه من پکیج شونزده تاییشو خریدم واقعا راضی هستم",14,16,5,5,5,5,5
,,"دوربین های ahd تحت شبکه نیستند.Analog hd تصاویر دیجیتال به صورت سیگنال آنالوگ هست.در ضمن فیش های اتصال BNC هستند. پکیج مقرون به صرفه ای هست.نصبش نیاز به کمی تجربه و البنه ابزار داره.",13,10,4,3,3,2,4
"انتقال تصوير ش بر روي موبايل خوبه.","کيفيت پايين دوربين ها قيمت نسبتا بالا","بنده نصاب دوربین مداربسته هستم و آشنایی کامل به دوربین های مداربسته دارم. دستگاه دی وی آر معمولی هستش و نه میشه گفت دستگاه خیلی بدی هست و نه میشه میگفت عالیه. هارد یک ترا برای شش عدد دوربین حداکثر نه روز در حالت ریل ضبط میکنه که به نظر من خیلی کم هست. دوربین هایی هم که گذاشتن اولش خوبه ولی متاسفانه افت کیفیت شدید دارن و بعد از دوسال تقریبا هیچ چیزی در تصویر قابل تشخیص نیست. با شناختی که از دیجی کالا داشتم بعید میدونستم دوربین با این کیفیت و با این قیمت فوق العاده بالا بعنوان پیشنهاد ویژه بزاره. موفق باشید.",20,6,0,2,2,2,3
ندارد,"کيفيت پايين دوربين ها
کمبود فضاي هارد ديسک براي 6 دوربين وذخيره سازي در حالت HD","negron برند شناخته شده ای نیست . کیفیت دوربین ها با وجود دوربین 2 مگا پیکسلی با برد 322 sony با همین قیمت رضایت بخش نیست. هارد دیسک 1 ترا برای سیستم AHD با 6 عدد دوربین فضای کمی دارد ( با توجه به ذخیره سازی( HD )",9,8,0,3,3,0,3
,,"اگه میخاید واسه دوربین ahd هزینه کنید دوربین و دستگاه 1080p تهیه کنید کیفیت خیلی بالاتری نسبت به این داره از نظر قیمت هم توی بازار اختلافی نداره",9,5,0,0,0,0,1
,,"من این پکیج رو برای ساختمونمون خریداری کردم
از لحاظ قیمتی واقعا به صرفست
همه متعلقاتشم کامل داخل پکیج بود و نصبش راحت انجام شد.",6,6,5,5,5,5,5
"پشتيباني نسبتا خوب ولي بدون کيفيت دوربين ها بي فايده است","کيفيت پايين دوربين ها
قيمت بالا حتي در پيشنهاد ويژه","کیفیت دوربین ها فوق العاده پایین است و فقط چهره آشنا قابل تشخیص است ، آن هم در شرایط ایده آل
مدل های مشابه رو حتی میتونستم با نصف این مبلغ خریداری کنم ، با وجود اینکه در پیشنهاد ویزه خریداری کردم .
پشتیبانی تلفنی نسبتا خوبی دارند ، پاسخگو هستند ولی خب",37,6,0,0,1,0,1
,,"من این پکیجو تو شگفت انگیز خریدم...به نسبت قیمت هایی که بیرون توسط نصاب به من داده شد خیلی مقرون به صرف بود و با همان کیفیت...کسایی که از کیفیت شکایت میکنن لطفا یه نگاه به مبلغ پرداختیم بکنن...بله قطعا ای پی کمرا ها کیفیت بالا تری دارن و قیمت تمام شده ام خیلی بیشتره...",19,18,5,4,4,3,4
,,"ای اچ دی در واقع یک تکنولوژی از رده خارج و ناکارآمد محسوب می شود ، چرا که تصویر اچ دی به تصویری گفته می‌شود که دارای پیکسل(هر واحد کوچک که رنگ پذیر باشد) باشد ، اما در دکد ای اچ دی تصاویر با کیفیت بسیار پایین و به صورت شبه پیکسل بازنشانی می‌شود، به همین سبب پس از ای اچ دی تکنولوژی( اچ دی سی وی آی) توسط شرکت داهوا چین ابداع شد که تصاویر را کاملا مشابه دوربینهای آی پی دکد کرده و تصویری با وضوح بسیار بالا بدون محدودیت کابل کشی500 تا 800 متر در اختیار مصرف کنندگان گذاشته. برای تایید عرایض بنده میتونید به ویکی سر بزنید ممنون از دیجی کالا به خاطر صداقت با مشتریاش..",20,8,0,0,0,0,0
"کيفيت خوب دوربين ها.يه پکيج کامل که همه چيز رو داره","هارد کم ظرفيت","من واسه فروشگاه نصب کردم واسه 180متر خوب جواب میده البته من تو پیشنهاد ویژه خریدم",13,21,3,3,3,3,3
