positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","کارآيي و عملکرد","امکانات و قابليت‌ها","کيفيت ساخت","طراحي و ظاهر"
"کوچک و سبک
نرم افزار اندرويد ويندوز
پنل اسمس
چراغ هاي LED متنوع
مموري هم قابليت خوبيه","نمايشگر نداره ولي بجاش نرم افزار جبران ميکنه","سلام
این وسیله تازه بعنوان هدیه بدستم رسید.از بعضی نقدها خیلی ترسیدم ولی بعد از استفاده نظرم عوض شد.
اول اینکه درسته نمایشگر نداره ولی با ویندوز یا اندروید میتونید خیلی راحت تنظیماتش رو انجام بدید،از پنل اسمس براحتی استفاده کنید.وزن سبکی داره که حمل ونقلش رو راحت میکنه.
سه تا LED ه تعبیه شده روی دستگاه میزان شارژ رو در سه حالت نمایش میده که در قسمت بررسی تخصصی میتونید عملکردش رو مشاهده کنید.قدرت سیگنال 4G و 3G رو با رنگهای متفاوت نشون میده که مشخص میکنه از کدومش داری استفاده میکنی.
دوستانی که میگن بهتره بجاش گوشی گرفت،من خودم خیلی وقته از هاتسپات استفاده میکنم.اول اینکه قدرت مودم واسه پخش وایرلس بیشتره.دوم اینکه دوستانی که درباره باندهای دریافت 4G اطلاعات دارند میدونن گوشی های مختلف با هم و همچنین با مودم تفاوت داره.سوم اینکه استفاده از موبایل بعنوان هاتسپات اونم 4G باعث میشه به گوشی فشار بیاد و دمای گوشی خیلی بالا بره که اونم واسه گوشی خوب نیس.پس اگه دنبال استفاده از اینترنت بصورت سیار و چندتا دستگاه هستید هستید حتما یه مودم پرتابل بگیرید.
در نهایت میتونم بگم که از این محصول راضی هستم.",2,1,4,5,4,5,5
"نقطه ي قوتي نسبت به مودم هاي ديگه نداره","ايراد شديد نرم افزاري
نبود صفحه نمايش","این مودم دوتا مشکل خیلی بزرگ داره و باعث پشیمون شدن از خریدم شده .
1- وقتی مودم رو با کابل به لپتاپ وصل میکنم و بدون اتصال وایفای میخوام از اینترنتش استفاده کنم سیستم کلا دچار مشکل و کندی میشه یعنی کارهای ساده ی ویندوزم نمیتونم انجام بدم و این به سیستم من ربط نداره روی چندتا سیستم تست شده . جاهایی مثل task manager یا وایفای ویندوز و ... به شدت کند عمل میکنه . بلاخره بیخیال اتصال با سیم شدم و کلا بی سیم وصل میشدم .
2-چند بار دکمه ی پاور به رنگ بنفش دراومد و دیدم هیچ اسمسی نیومده ! برای اینکه رنگش به حالت اول برگرده اول با خاموش و روشن کردن درست میشد بعد با ریست کردن و الان رنگش روی بنفش گیر کرده و به هیچ عنوان درست نمیشه!
من اگه همچین نقدی از دوستان میشنیدم به هیچ عنوان این مودمو نمیخریدم به هیچ عنوان ولی الان اینو میگم تا شما دچار اشتباه من نشید .",7,7,0,1,1,3,3
"وزن کم
سايزکوچک
طراحي خوب","نداشتن صفحه نمايش
عدم نمايش کد USSD اجرا شده
باتري متوسط","نسبت به تصوراتی که درباره اندازه وو طراحی داشتم من شگفت زده کرد!
من با نداشتن صفحه ی نمایش مشکلی ندارم،اما باتری میتوانست بهتر باشد
با این وجود کاربری خوبی ارائه میدهد
مناسب ترین نسبت به هزینه است و هزینه ی بیش از این مقدار هم لازم نیست!",4,0,4,4,4,5,5
,,"کسایی که میگن با این پول میشه گوشی خرید. درست ولی گوشی هرجایی انتن و. نمیگیره قدرت مودم خیلی بیشتره",5,2,3,3,3,3,3
,,"این مودم بزرگترین مشکلش نداشتن صفحه نمایشه. شاید این موضوع واسه من آزار دهندس فقط. ولی به نظرم تنها ایرادش همینه. آنتن دهیش خیلی خوبه",3,2,3,3,3,3,3
,,"با سلام من الان نزدیک به سه ماهه که این مودم رو خریدم، از خریدش هم راضی هستم! سرعتش خوبه باطری متوسطی هم داره فقط یه مشکل داره اونم اینه که بعضی جاها که آنتن 3G میشه و دوباره 4G میشه یکم طول میکشه تا بخواد به 4G تبدیل بشه پس باید یک بار حتما خاموش روشن بشه تا بتونی از سرعتش لذت ببری! البته یک مقداری هم گرونه ولی همین که با همه سیم کارتها کار میکنه یه نقطه قوته
پیشنهاد میکنم بخرید",3,1,3,4,3,3,3
"زيبا
پرسرعت. 4g
کوچک و کم حجم","اين فقط يک مودم است
براي يک مودم بودن گران است","من این مودم.رو خریدم و از اینترنت و سرعتی که در اختیار دارم بسیار لذت بردم اما در زمان کوتاهی سریعا از خرید خودم پشیمان شدم چونکه با این هزینه فقط یک مودم 4g خریدم و این یک اشتباه بود، چراکه این مبلغ نزدیک به قیمت یک گوشی 4g بود که هم میتونستم از اینترنتش استفاده کنم و هم میتونستم به عنوان مودم ازش بهره ببرم..
من خیلی بسیار زیاد از دیجی خرید کردم و از این خرید در عین کاربردی بودن و نیاز داشتن به اینترنت پرسرعت و باتوجه به رفع نیازم، ناراضی هسدم و اگر به عقب برمیگشتم حتما بجای این مودم یک گوشی 4g میخریدم. این مبلغ برای یک مودم بسیار گران است.",11,14,3,3,3,3,3
,,"بهتره یک گوشی اندرویدی خریداری شود که دارای امکانات بیشتری هست و میتونید همزمان از طریق وای فای گوشی به چند گوشی دیگر متصل شد در مجموع خریدن گوشی به صرفه تر خواهد بود.",9,22,3,3,3,3,3
,,"شما میتونید با یکم بیشتر یه j1 ace که 4g هم هست بخرید..",3,11,0,3,3,3,3
,,"الان تعداد زیادی از گوشی های این.رنج قیمت قابلیت 4جی دارن ، که با یه 4جی و هات اسپات، باتریشون بیشتر یا حداقل همون 5 ساعت جواب میده.... به نظر من خرید منطقی نیست.",6,8,0,0,0,0,0
,,"به نظر من اگر یک گوشی اندرویدی با قابلیت 4g بخری راحت میشه به عنوان مودم هم ازش استفاده کرد. تازه با قابلیت مکاامه، بانری بهتر، وهمه امکانات یک گوشی .",26,27,3,3,3,3,3
"آنتن دهي عالي شارژ باتري مناسب سرعت عالي امنيت خيلي زياد",ندارد,"من این مودمو یک هفته هست که از دیجی کالای عزیز تهیه کردم.
خیلی عالیه.همون اول ک باهاش دارید کار میکنید حس خوبی بهتون میده.
من خودم از سیم کارت ایرانسل استفاده میکنم تا 15 مگ دانلود کردم ..خیلی وسوسه انگیزه.روزای اول فقط باید پول حجم بدید چون سرعت بسیار عالی داره.خیلی خوشگله.رابطه کاربری عالی داره..امنیتشم خیلی عالیه.در کل ک من راضیم.باتریشم مناسبه و تا بیش از پنج ساعت جواب میده.",11,5,5,5,5,5,5
"کاربرد بسيار آسان اين مودم
آنتن دهي قوي
سرعت بسيار بالا تا حدود 30 MB/S در حالت 4G","نقطه ضعفي مهم ملاحظه نشد.
براي شارژ نياز به شارژر 2 آمپر به بالا داره","پس از دو هفته استفاده مودم بسیار خوبی است آن را روی حالت AUTO قرار دهید خودش نوع آنتن منطقه رو تشخیص میده و روش قفل میکنه با استفاده از سیم کارت رایتل در حال حرکت در مناطق مختلف تهران بین حالت 4G و 3G در نوسان می باشد . بعلت اینکه همه ی مناطق تحت پوشش اینترنت 4G نیست. روی هم رفته مودمی است با طرز استفاده بسیار ساده و کارا و تا حدودی با قیمت مناسب نداشتن صفحه مونیتور زیاد مهم نیست با استفاده از رنگ نماد آنتن نوع اینترنت منطقه مشخص میشه 4G آبی و 3G سبز با تشکر از دیجی کالا",13,6,5,5,5,5,5
"1-خيلي آنتن دهي عاليي داره
2- پشتيباني از کليه سيمکارت ها
3-پشتيباني از نسل 4G
4-شارژ رو آگه 100 باشه تا بالاي 5 ساعت هم نگه ميداره
پشتيباني ازmicro SD براي به اشتراک گذاشتن اطلاعات توسط مودم.","نقطه ضعفي نديدم تاحالا،اما آگه سازنده يه شارژر ميذاشت تو جعبه بهتر بود...هرچند دستگاه هاي الکترونيکي دارن به سمتي ميرن که شارژر ها جداگانه‌ برا دستگاه هارو حذف کنن،و براي شارژر همگي اونا يه شارژر مرجع جدا بخريد.","این مودم خیلی عالی بود،بعد خریدش که بازش کردم یه مودم همراه کابل شارژ داخلش بود،که توصیه میکنم روی صفحه مودم یه اسکرین گارد بچسپونید....با تمامی سیمکارت ها کار میکنه،میتونید یه شارژر 2.4 آمپری 5v از خود دیجی کالا تهیه کنید و دستگاه رو شارژ کنید،
چون با شارژر های 1A،سرعت شارژ خیلی پایینه...با تحقیقاتی که کردم اگه آمپر شارژر بالا تر باشه به دستگاه آسیبی نمیزنه و فقط سرعت شارژ بالا میره..یادتون باشه حتما توان خروجیش 5v باشه....امیدوارم بخرید و استفاده کنید.
(با تشکر از دیجی کالای عزیز)",12,4,5,5,5,5,5
"يه مودم تمام عيار و فوق العاده عالي","به نظرم هيچي","با سلام خدمت دیجی کالای عزیز....
لطفا پیشنهاد ویژه قرار بدین،با توجه به انحصاری بودن این محصول توسط دیجی کالا،دوست دارم از شما خرید کنم حتما.....
باتسکر",12,1,5,5,5,5,5
"کيفيت ساخت بالا
ابعاد و وزن فوق العاده مناسب
پشتيباني از سرعت دانلود تا 150 مگابايت در ثانيه","نبود يک آداپتور براي اين مودم گران قيمت
نگهداري شارژ تنها به مدت 5 ساعت","همه چیز این مودم خوب هستش اما کاستی هایی هم دیده میشه که به نظر میتونست توی محصولی با این قیمت بالا تعبیه بشه!
1 - سازنده از قراردادن یک آداپتور شارژ تو این محصول امتناع کرده و فقط یک کابل USB قرار داده که واقعاً از D-Link بعید بود.
2 - باتری این مودم فقط 2000 میلی آمپر ظرفیت داره و میتونه تا 5 ساعت مورد استفاده قرار بگیره. کمپانی سازنده میتونست عملکرد بهتری رو از خودش نشون بده و از یک باتری با حجم بیشتری استفاده کنه!
در مجموع این مودم محصول مناسبی هست که میتونه برای عاشقان اتصال 4G و 3G ایده آل باشه.",15,1,3,4,4,5,4
,,"سلام دوستان
این مودم رو از دیجیکالا خریدم . با توجه به انتظاری که از آنتنش داشتم اون چیزی که فکر میکردم نبود. البته دلیل بر بد بودنش نیست . آنتنش راضی کنندس .
دو تا ایراد جزئی داره
اول اینکه یه دفترچه راهنما توی جعبش هست که فقط توش میتونین تنظیمات مربوط به اتصال مودم رو پیدا کنین و خبری از بقیه قسمتها مثل رنگ چراغهاش و اینا نیست و باید برید از سایت دی لینک دفترچه راهنما رو دانلود کنین .
دوم اینکه کابلی که برای شارژ توی جعبه مودم بود به شدت بی کیفیت بود. من که اصلا توقع نداشتم. با این قیمت باید لوازم مودم با کیفیت تر می بود.
یه نکته دیگه هم قیمت بالاشه که با این کیفیت دستگاه خیلی هم ایراد محسوب نمیشه
در کل بخرید پشیمون نمیشید.",8,1,3,5,4,5,5
[],[],"ما منتظریم دیجی جون!",9,3,3,3,3,3,3
"آنتن دهي قوي","نبودن شارژر همراه","همانطور که در توضیحات دیجیکالا می خوانید در بسته بندی این مودم شارژر وجود ندارد. در طول این چند روز با انواع شارژر برای فول شارژ کردن آن تلاش نمودم
بهتر است بدانید که در هنگام روشن بودن به هیچ وجه با شارژر ""موبایل"" یک آمپری نمی توان آن را فول کرد و نیاز به شارژر ""تبلت"" دارد. پس حتما به همراه این محصول دنبال یک شارژر 2.1 آمپری باشید.",6,2,5,5,5,5,5
,,"در توضیحات نوشته که اگر چراغ پاور چشمک زن بشه ، پیامک داریم. که بعد از رفتن داخل تنظیمات مودم میتونیین پاک کنین . حالا واسه من چشمک زن شده ولی پیامک دریافتی ندارم. حالا نکته منفی اینه که نمیتونم بفهمم باتری چه قدر داره تا تموم بشه. چیزی هم تو دفترچه به چشمم نخورد. به سرم زد سیم کارت رو دربیارم بزارم تو گوشی و سپس بزارم تو مودم.که بعد از این کار دیدم چراغ پاور درست شد.",3,4,4,5,5,4,5
,,"سلام خواهش دارم بازم شگفت انگیز بزاریدش ممنون میشم",9,3,5,5,3,5,5
"[""همه چي عالي""]","[""کاش باتري قوي تري داشت""]","با تشکر از مجموعه معظم دیجیکالا بی صبرانه منتظر شگفت انگیز شدن این محصول هستیم.",18,2,5,5,5,5,5
"[""4*""]","[""قيمت بالا\nباتري راضي کننده نيستا""]","قیمتش خیلی گرونه.
اگه پول داشتم هم اینو و هم j7 سامسونگ از شما میخریدم.",14,1,3,3,3,3,3
,,"شگفت انگیز",17,1,3,5,3,3,2
"آنتن دهي و برد مناسب
وزن بسيار ناچيز و قابليت حمل
طراحي شيک","نداشتن مانيتور نشان دهنده ميزان شارژ
نداشتن کابل مناسب جهت شارژ
نداشتن کيف همراه و يا گارد ضد ضربه","به مدت حدود ده روز است که این مودم را خریداری کرده ام و یک سیم کارت 4G ایرانسل بر روی آن قرار دادم و در یک جمله اگر بخواهم تجربه خریدم را بگویم اینکه فراتر از انتظار من بود . البته من با سیم کارت های دیگه امتحان نکردم ولی با همون سیمکارت ایرانسل کیفیت بالای مورم آنتن دهی مناسبش را میتوان لمس کرد . از دوستان اگر کسی استفاده از سیمکارتهای 4G از اپراتورهای دیگر را امتحان کرده اند محبت کنند تجربه خود را بنویسند . من از این خرید خود بسیار راضی هستم .",7,7,5,4,3,4,4
"زيبايي و قدرت",,"الان با همین مودم وصل هستم. جایی که هیچ گوشی و مودمی آنتن اینترنت نداره این مودم داره با سرعت خیلی خوبی جواب می ده. به راحتی و با کیفیت بالا دارم facetime می کنم.
بسیار زیباست و عطش دانلود آدم رو سیراب می کنه",6,3,5,5,5,5,5
,,"شگفت انگیزش کنید دیگه 3 تا میخوام
هر شب میام چک میکنم ببینم گذاشتین یا نه",17,2,4,4,4,4,4
"[""فوق العاده و پرسرعت""]","[""لطفا ارزان تر قرار دهيد تا خيلي ها بتوانند آن را خريداري کنند""]","عالی فقط گران است لطفا ارزان تر قرار دهید
موافق ها لایک کنن",39,1,3,5,5,5,5
,,"سلام هروقت شگفت انگیز شه میخام",32,1,3,3,3,3,3
"همه چي تموم",ندارد,"لطفا شگفت انگیز بذارید",38,3,3,3,3,3,3
[],[],"کیفیت و کارایی بالایی داره",32,3,3,5,4,4,4
عالي,ندارد,"لطفا شگفت انگیزش کنید",36,3,3,3,3,3,3
[],[],"من این محصول رو خریدم خیلی عالیه من که ازش راضی هستم پیشنهاد میکنم شما هم بخرین",16,4,3,3,3,3,3
